,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,PIT,"L,4-5",9.0,6,5,5,0,9,11,1,0,5.0,41,178,104,5,2,2,0,30,1,0,0,1,1,0,1,6,Mark Wegner,"H.Greene (99-43), F.Cruz (99), A.Young (99), D.Law (99), B.Farmer (99-L), I.Gibaut (99)"
1,2,Apr 1,True,PIT,"W,6-2",9.0,7,2,2,0,2,12,0,0,3.5,36,151,94,0,0,0,0,34,1,0,0,0,0,0,0,5,Bruce Dreckman,"N.Lodolo (99-52-W), I.Gibaut (1-H), B.Farmer (1), R.Sanmartin (99), A.Díaz (99)"
2,3,Apr 2,True,PIT,"W,3-1",9.0,6,1,1,0,1,7,1,0,2.67,34,125,83,2,0,1,0,33,1,0,0,0,0,0,0,4,Stu Scheurwater,"G.Ashcraft (99-70-W), A.Young (2-H), D.Law (2-H), A.Díaz (0-Sv)"
3,4,Apr 3,True,CHC,"W,7-6",9.0,12,6,6,0,3,8,1,1,3.5,44,159,105,6,3,0,0,39,3,0,0,0,0,0,0,7,Bill Miller,"C.Overton (99-30), I.Gibaut (1), A.Young (0), F.Cruz (3-W), R.Sanmartin (1-H), B.Farmer (1-H), D.Law (0-Sv)"
4,5,Apr 4,True,CHC,"L,5-12",9.0,16,12,10,2,6,7,0,0,4.8,50,169,112,6,5,2,0,43,5,0,0,0,1,1,1,6,Rob Drake,"L.Cessa (99-51), I.Gibaut (0-H), B.Farmer (0-BL), R.Sanmartin (0), J.Kuhnel (99), F.Cruz (0)"
5,6,Apr 7,False,PHI,"L,2-5",8.0,10,5,5,0,4,9,2,0,4.92,38,166,98,2,0,1,0,34,3,0,0,0,0,0,0,4,Sean Barber,"H.Greene (7-48), A.Young (3), D.Law (3-L), R.Sanmartin (2)"
6,7,Apr 8,False,PHI,"L,2-3",8.1,6,3,3,0,3,15,0,0,4.7,35,146,92,2,2,1,0,30,1,0,1,1,1,1,1,3,Alan Porter,"N.Lodolo (6-81), A.Díaz (5-L), I.Gibaut (3-BSv)"
7,8,Apr 9,False,PHI,"W,6-4",9.0,7,4,4,0,3,9,1,0,4.61,33,125,82,1,0,1,0,30,1,1,0,0,0,0,1,4,Jim Wolf,"C.Overton (5-35), F.Cruz (4), K.Herget (99-W), I.Gibaut (0-Sv)"
8,9,Apr 10,False,ATL,"L,4-5",9.0,10,5,4,1,5,13,1,0,4.54,40,159,100,3,1,0,0,35,2,0,0,0,0,0,2,5,John Tumpane,"G.Ashcraft (7-56), B.Farmer (5), R.Sanmartin (2), A.Díaz (1), D.Law (2-BL)"
9,10,Apr 11,False,ATL,"L,6-7",8.0,11,7,7,0,6,6,2,0,4.84,40,155,91,4,1,0,0,34,2,0,0,0,0,0,1,5,Ryan Blakney,"L.Cessa (6-26-L), A.Young (3), F.Cruz (1), K.Herget (1), D.Law (0)"
10,11,Apr 12,False,ATL,"L,4-5",8.0,9,5,5,0,2,14,1,1,4.91,35,146,94,0,0,2,1,32,4,0,0,0,0,0,0,3,Marvin Hudson,"H.Greene (4-56), I.Gibaut (2-BSv), B.Farmer (1-L)"
11,12,Apr 13,True,PHI,"W,6-2",9.0,9,2,2,0,3,13,1,0,4.66,38,150,99,2,0,0,0,35,1,0,0,0,0,0,1,4,David Rackley,"N.Lodolo (4-47-W), A.Young (1-H), D.Law (1), A.Díaz (2-Sv)"
12,13,Apr 14,True,PHI,"L,3-8",9.0,13,8,8,0,4,6,1,1,4.92,44,171,103,3,0,0,1,38,4,1,0,0,1,0,0,4,Edwin Moscoso,"C.Overton (4-26-L), K.Herget (2), R.Sanmartin (3), F.Cruz (2)"
13,14,Apr 15,True,PHI,"W,13-0",9.0,5,0,0,0,5,7,0,0,4.56,36,136,79,0,0,0,0,31,2,0,0,0,0,0,1,3,Jeremy Riggs,"G.Ashcraft (4-64-W), B.Farmer (2), C.Legumina (99)"
14,15,Apr 16,True,PHI,"L,3-14",9.0,23,14,14,0,5,4,2,1,5.21,56,195,123,2,0,0,0,50,5,0,0,0,0,0,0,5,Chris Guccione,"L.Cessa (4--16-L), F.Cruz (1), R.Sanmartin (1), D.Law (2), J.Vosler (99)"
15,16,Apr 17,True,TBR,"W,8-1",9.0,8,1,1,0,2,5,1,0,4.94,37,138,89,5,0,0,0,35,2,0,0,0,0,0,0,5,Andy Fletcher,"H.Greene (4-54), B.Farmer (1), A.Young (3-H), I.Gibaut (4-W), K.Herget (2)"
16,17,Apr 18,True,TBR,"L,0-10",9.0,17,10,10,0,1,8,4,3,5.24,46,159,97,3,0,0,1,41,1,1,0,0,1,0,1,4,Mike Estabrook,"N.Lodolo (4-11-L), C.Legumina (2), A.Díaz (4), L.Maile (99)"
17,18,Apr 19,True,TBR,"L,0-8",9.0,12,8,8,0,5,6,1,0,5.4,42,162,106,0,0,2,0,37,2,0,0,0,0,0,2,6,Erich Bacchus,"L.Stoudt (99-18-L), L.Sims (99), F.Cruz (2), R.Sanmartin (2), D.Law (2), J.Vosler (2)"
