,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,SEA,"L,0-3",8.0,7,3,3,0,1,5,1,1,3.38,32,129,82,0.0,0.0,1,0,30,2,0,0,0,0,0,1,4,Mark Carlson,"S.Bieber (99-63), T.Stephan (99), J.Karinchak (99-L), E.De Los Santos (99)"
1,2,Mar 31,False,SEA,"W,9-4",9.0,7,4,4,0,3,13,0,1,3.71,38,150,104,1.0,1.0,1,0,34,4,0,0,0,0,0,0,6,Jordan Baker,"H.Gaddis (99-38), N.Sandlin (99-W), E.Morgan (99), E.De Los Santos (0), T.Stephan (0), E.Clase (99)"
2,3,Apr 1,False,SEA,"W,2-0",9.0,3,0,0,0,2,6,0,0,2.42,31,112,76,0.0,0.0,1,1,29,1,0,0,0,0,1,1,3,Tripp Gibson,"A.Civale (99-75-W), J.Karinchak (1-H), E.Clase (0-Sv)"
3,4,Apr 2,False,SEA,"W,6-5",10.0,9,5,4,1,2,11,1,0,2.75,41,180,106,1.0,0.0,1,1,39,3,0,0,0,0,1,0,6,Brennan Miller,"C.Quantrill (99-31), T.Herrin (99), N.Sandlin (1), E.Morgan (1), E.De Los Santos (1-W), T.Stephan (1-Sv)"
4,5,Apr 3,False,OAK,"W,12-11",10.0,14,11,10,1,3,9,3,0,4.11,46,166,106,0.0,0.0,0,0,43,3,0,0,0,0,1,1,6,Alfonso Márquez,"Z.Plesac (99-15), X.Curry (99), T.Herrin (0), J.Karinchak (1-H), E.Clase (1-BW), E.Morgan (0-Sv)"
5,6,Apr 4,False,OAK,"L,3-4",8.2,6,4,4,0,4,10,0,0,4.12,37,144,101,0.0,0.0,1,0,32,3,0,0,0,1,0,0,4,Doug Eddings,"S.Bieber (4-60), T.Stephan (1), E.De Los Santos (1), J.Karinchak (0-L)"
6,7,Apr 5,False,OAK,"W,6-4",10.0,4,4,4,0,5,7,2,0,4.04,39,165,112,0.0,0.0,3,0,34,1,0,0,0,0,0,0,5,Lance Barrett,"H.Gaddis (4-72), N.Sandlin (2), T.Herrin (1-BSv), E.Morgan (1-W), E.Clase (1-Sv)"
7,8,Apr 7,True,SEA,"L,3-5",9.0,10,5,5,0,4,9,1,0,4.15,41,159,105,1.0,1.0,1,0,37,3,0,0,0,0,0,0,4,Nate Tomlinson,"A.Civale (5-39-L), N.Sandlin (1), T.Herrin (1), X.Curry (3)"
8,9,Apr 8,True,SEA,"L,2-3",9.0,11,3,3,0,1,7,0,1,4.03,38,135,85,0.0,0.0,1,0,35,2,0,0,1,0,0,1,4,James Hoye,"C.Quantrill (5-43-L), E.Morgan (2), E.De Los Santos (3), T.Stephan (3)"
9,10,Apr 9,True,SEA,"W,7-6",12.0,9,6,4,2,6,13,1,0,3.9,51,204,127,4.0,0.0,3,0,44,2,0,1,0,1,1,1,7,D.J. Reyburn,"Z.Plesac (5-64), J.Karinchak (4), E.Clase (3), T.Stephan (0), E.De Los Santos (0), N.Sandlin (1), T.Herrin (1-W)"
