,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,SDP,"W,7-2",9.0,7,2,2,0,1,10,0,0,2.0,36,133,88,0,0,0,0,32,3,0,0,0,1,0,2,4,Chris Conroy,"G.Márquez (99-59-W), D.Lamet (99), J.Lawrence (99), J.Bird (99)"
1,2,Mar 31,False,SDP,"W,4-1",9.0,5,1,1,0,2,5,0,0,1.5,33,127,83,0,0,0,0,29,2,0,0,1,1,0,1,4,Brian O'Nora,"K.Freeland (99-66-W), B.Suter (99), B.Hand (99), P.Johnson (99-Sv)"
2,3,Apr 1,False,SDP,"L,4-8",8.0,10,8,8,0,8,4,1,0,3.81,41,158,92,3,1,0,0,32,3,0,0,0,1,0,0,4,Pat Hoberg,"J.Ureña (99-27-L), T.Blach (99), J.Bird (1), D.Lamet (1)"
3,4,Apr 2,False,SDP,"L,1-3",8.0,4,3,3,0,2,5,2,0,3.71,29,109,73,0,0,1,1,27,0,0,0,0,0,0,0,2,Nestor Ceja,"A.Gomber (99-55-L), B.Suter (1)"
4,5,Apr 3,False,LAD,"L,4-13",8.0,13,13,13,0,5,11,3,1,5.79,43,160,101,3,3,0,0,36,2,2,0,0,1,1,1,3,Mark Carlson,"R.Feltner (99-38-L), J.Bird (1), C.Seabold (99)"
5,6,Apr 4,False,LAD,"L,2-5",8.0,7,5,5,0,5,9,3,0,5.76,33,151,85,1,0,0,1,28,2,0,0,0,0,0,2,4,Jordan Baker,"G.Márquez (4-44-L), B.Hand (3), J.Lawrence (4), P.Johnson (3)"
6,7,Apr 6,True,WSN,"W,1-0",9.0,6,0,0,0,2,8,0,0,4.88,34,114,80,1,0,0,1,32,0,0,0,0,0,0,0,3,Cory Blaser,"K.Freeland (5-69-W), J.Lawrence (1-H), P.Johnson (1-Sv)"
7,8,Apr 7,True,WSN,"L,5-10",9.0,18,10,7,3,4,4,2,0,5.16,46,163,95,2,0,1,1,40,1,2,0,0,2,2,4,5,Carlos Torres,"J.Ureña (5-22-L), T.Blach (5), J.Bird (3), D.Lamet (5), B.Hand (2)"
8,9,Apr 8,True,WSN,"L,6-7",9.0,11,7,7,0,2,10,1,0,5.38,40,141,89,2,0,0,0,36,5,0,0,2,0,0,0,3,Jansen Visconti,"A.Gomber (5-34-L), C.Seabold (4), B.Suter (5)"
9,10,Apr 9,True,WSN,"W,7-6",9.0,8,6,6,0,6,6,0,1,5.44,42,155,98,3,3,0,0,35,0,0,0,0,0,0,0,6,Ron Kulpa,"R.Feltner (5-43), J.Bird (1), B.Hand (1), D.Lamet (1-W), J.Lawrence (2-H), P.Johnson (2-Sv)"
10,11,Apr 10,True,STL,"W,7-4",9.0,6,4,3,1,2,6,0,0,5.21,34,116,79,0,0,0,0,32,1,1,0,0,0,1,2,3,Shane Livensparger,"G.Márquez (5-57-W), B.Suter (1-H), J.Lawrence (0)"
11,12,Apr 11,True,STL,"L,6-9",9.0,11,9,5,4,6,8,3,0,5.19,43,152,88,5,3,0,0,36,2,0,0,1,0,1,2,5,Dan Bellino,"K.Freeland (4-55), J.Bird (1), D.Lamet (1-BSv), P.Johnson (1-L), C.Seabold (2)"
12,13,Apr 12,True,STL,"L,4-7",9.0,11,7,7,0,3,13,3,0,5.34,41,141,94,1,0,1,0,38,3,0,1,0,0,0,0,5,Phil Cuzzi,"J.Ureña (4-50), B.Suter (1), B.Hand (2), J.Lawrence (1-L), C.Seabold (0)"
13,14,Apr 14,False,SEA,"L,3-5",8.0,7,5,5,0,5,9,1,1,5.36,36,153,90,2,0,1,0,30,3,0,0,0,0,0,1,4,Nick Mahrley,"A.Gomber (5-27-L), J.Bird (2), D.Lamet (2), B.Hand (1)"
14,15,Apr 15,False,SEA,"L,2-9",8.0,8,9,5,4,6,12,1,2,5.37,41,173,111,4,3,0,0,33,0,1,0,0,0,0,0,4,Adam Hamari,"R.Feltner (5-33-L), B.Suter (2), C.Seabold (2), P.Johnson (3)"
15,16,Apr 16,False,SEA,"L,0-1",8.0,4,1,1,0,5,8,0,0,5.12,31,149,89,2,1,1,0,26,0,0,0,0,0,0,2,4,Brock Ballou,"N.Davis (99-63), D.Lamet (1-L), B.Hand (1), J.Lawrence (3)"
16,17,Apr 17,True,PIT,"L,3-14",9.0,16,14,9,5,2,4,2,1,5.36,48,173,117,2,0,2,0,43,1,0,0,1,1,2,1,5,Gabe Morales,"K.Freeland (5-10-L), T.Blach (9), C.Seabold (1), J.Bird (2), A.Trejo (99)"
17,18,Apr 18,True,PIT,"L,3-5",9.0,9,5,5,0,6,7,2,0,5.34,39,150,89,2,0,1,2,33,3,2,0,0,0,1,1,5,Dan Iassogna,"J.Ureña (5-30-L), B.Suter (2), D.Lamet (1), B.Hand (1), P.Johnson (2)"
18,19,Apr 19,True,PIT,"L,3-14",9.0,18,14,14,0,5,6,2,1,5.82,51,176,106,0,0,0,0,44,6,0,0,0,1,0,0,5,Adam Beck,"A.Gomber (4-0-L), J.Bird (1), T.Blach (1), D.Bard (99), H.Castro (99)"
19,20,Apr 20,False,PHI,"W,5-0",9.0,6,0,0,0,5,11,0,0,5.51,38,142,92,2,0,0,0,33,2,0,0,0,0,0,0,3,Brian Knight,"R.Feltner (4-66-W), J.Lawrence (3-H), P.Johnson (1)"
20,21,Apr 21,False,PHI,"L,3-4",8.0,9,4,3,1,3,8,1,1,5.42,38,154,102,1,0,1,0,34,1,0,0,0,0,1,0,4,Alex Tosi,"N.Davis (4-51), B.Suter (2), D.Lamet (2-BSv), B.Hand (2-L)"
21,22,Apr 22,False,PHI,"L,3-4",8.0,7,4,4,0,1,10,3,0,5.38,32,125,80,0,0,0,0,31,1,1,0,0,0,1,0,3,Tony Randazzo,"K.Freeland (4-51-L), D.Bard (2), J.Bird (2)"
22,23,Apr 23,False,PHI,"L,3-9",8.0,8,9,9,0,5,5,4,0,5.57,34,151,88,1,0,2,2,29,1,0,0,0,0,0,1,5,Todd Tichenor,"J.Ureña (4-35-L), B.Suter (1), B.Hand (1), D.Lamet (1), T.Blach (3)"
23,24,Apr 24,False,CLE,"W,6-0",9.0,4,0,0,0,3,5,0,0,5.33,33,119,73,0,0,0,0,30,1,0,0,0,0,0,1,4,Ramon De Jesus,"A.Gomber (4-61-W), J.Bird (1), P.Johnson (3), J.Lawrence (3)"
24,25,Apr 25,False,CLE,"W,5-1",9.0,6,1,0,1,0,9,0,0,5.11,32,120,87,0,0,1,0,31,3,0,0,0,1,0,1,3,Doug Eddings,"R.Feltner (4-66-W), B.Suter (1), J.Lawrence (0)"
25,26,Apr 26,False,CLE,"L,1-4",8.0,10,4,4,0,4,7,1,1,5.09,37,120,80,4,0,2,1,32,3,0,1,0,0,0,1,5,Edwin Moscoso,"G.Márquez (15-40-L), J.Bird (1), D.Bard (3), B.Hand (2), P.Johnson (1)"
