,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,TBR,"L,0-4",8.0,6,4,4,0,3,7,2,0,4.5,32,141,89,2,2,0,0,29,0,0,0,0,0,0,1,4,Jerry Layne,"E.Rodríguez (99-53-L), J.Foley (99), C.Shreve (99), M.Englert (99)"
1,2,Apr 1,False,TBR,"L,2-12",8.0,13,12,12,0,7,15,1,2,9.0,45,191,116,4,1,0,0,36,7,0,0,0,0,0,1,5,Vic Carapazza,"S.Turnbull (99-13-L), T.Wingenter (99), T.Alexander (99), G.Hill (99), J.Cisnero (99)"
2,3,Apr 2,False,TBR,"L,1-5",8.0,8,5,5,0,2,4,1,1,7.88,35,127,84,1,1,2,0,32,2,0,0,0,0,0,0,4,Nick Mahrley,"J.Wentz (99-50-L), J.Foley (2), A.Lange (99), C.Shreve (2)"
3,4,Apr 3,False,HOU,"W,7-6",11.0,9,6,5,1,5,4,1,1,6.69,49,166,106,1,1,0,0,42,1,0,1,0,0,1,1,6,Ben May,"M.Boyd (99-51), J.Cisnero (1), M.Englert (3), A.Lange (0-BSv), T.Wingenter (1-W), G.Hill (1-Sv)"
4,5,Apr 4,False,HOU,"W,6-3",9.0,10,3,3,0,3,6,1,0,5.93,37,141,91,1,0,0,0,34,0,0,0,0,0,0,1,4,Jeff Nelson,"M.Manning (99-51-W), J.Foley (1-H), C.Shreve (1-H), T.Wingenter (0)"
5,6,Apr 5,False,HOU,"L,2-8",8.0,11,8,7,1,2,4,3,0,6.23,38,169,106,4,2,0,0,34,4,0,0,0,2,1,0,3,CB Bucknor,"E.Rodríguez (5-35-L), G.Hill (1), T.Alexander (3)"
6,7,Apr 6,True,BOS,"L,3-6",9.0,7,6,6,0,4,3,2,1,6.2,36,124,69,4,2,1,0,31,2,0,0,0,0,0,2,4,Edwin Moscoso,"S.Turnbull (4-38-L), J.Cisnero (2), M.Englert (2), A.Lange (2)"
7,8,Apr 8,True,BOS,"L,5-14",9.0,12,14,14,0,6,3,4,0,7.2,45,160,93,3,3,0,0,39,3,0,0,0,0,0,0,4,Chris Guccione,"J.Wentz (5-29-L), G.Hill (2), T.Alexander (2), Z.McKinstry (99)"
8,9,Apr 9,True,BOS,"L,1-4",9.0,7,4,4,0,5,9,1,1,6.84,39,143,87,2,0,0,0,32,2,0,0,0,1,0,1,5,David Rackley,"M.Boyd (5-46-L), J.Foley (4), A.Lange (2), T.Wingenter (4), C.Shreve (4)"
9,10,Apr 11,False,TOR,"L,3-9",8.0,10,9,9,0,2,7,5,0,7.14,36,130,88,0,0,1,0,34,1,0,0,0,0,0,0,2,Erich Bacchus,"M.Manning (6-46-L), M.Englert (4)"
10,11,Apr 12,False,TOR,"L,3-4",9.1,9,4,3,1,2,6,0,1,6.73,37,151,95,4,3,0,0,31,1,0,0,1,2,0,1,6,Ryan Wills,"E.Rodríguez (6-56), J.Foley (2-H), A.Lange (2-H), T.Wingenter (2), C.Shreve (2-BL), J.Cisnero (5)"
11,12,Apr 13,False,TOR,"W,3-1",9.0,8,1,1,0,1,10,0,0,6.24,36,138,100,0,0,2,0,35,1,0,0,0,0,1,1,5,Mike Estabrook,"S.Turnbull (6-56-W), C.Shreve (0-H), J.Foley (0-H), J.Cisnero (0-H), A.Lange (0-Sv)"
12,13,Apr 14,True,SFG,"W,7-5",11.0,11,5,4,1,3,13,2,1,5.96,47,190,126,3,2,0,0,43,1,0,0,0,0,1,2,5,Malachi Moore,"J.Wentz (5-59), T.Alexander (5-H), G.Hill (5-H), M.Englert (2-BSv), J.Cisnero (0-W)"
13,14,Apr 15,True,SFG,"W,7-6",11.0,9,6,6,0,5,12,2,0,5.87,47,168,109,0,0,0,0,42,1,0,0,0,0,0,0,6,Mark Wegner,"M.Lorenzen (99-26), T.Holton (99), T.Wingenter (2), A.Lange (1), J.Foley (1), C.Shreve (1-W)"
14,15,Apr 18(1),True,CLE,"W,4-3",9.0,8,3,3,0,2,7,1,0,5.68,36,130,83,0,0,0,0,33,2,0,0,1,0,0,1,3,Alex Tosi,"M.Boyd (8-47), M.Englert (3), A.Lange (2-W)"
15,16,Apr 18(2),True,CLE,"W,1-0",9.0,4,0,0,0,0,11,0,0,5.33,30,111,80,0,0,0,1,29,0,0,0,1,0,0,0,2,Tony Randazzo,"E.Rodríguez (5-84-W), J.Foley (2-Sv)"
16,17,Apr 19,True,CLE,"L,2-3",9.0,5,3,3,0,5,9,1,1,5.19,36,141,87,0,0,1,0,30,0,0,0,0,0,0,2,4,Todd Tichenor,"S.Turnbull (5-50-L), T.Alexander (4), A.Lange (0), J.Cisnero (4)"
17,18,Apr 21,False,BAL,"L,1-2",8.1,7,2,2,0,1,8,1,0,5.03,32,140,94,0,0,0,0,31,2,0,0,0,0,0,2,5,Brock Ballou,"M.Lorenzen (5-64), C.Shreve (5), J.Cisnero (1), T.Holton (5), J.Foley (2-L)"
18,19,Apr 22,False,BAL,"L,1-5",8.0,6,5,5,0,3,10,1,0,5.06,33,127,82,0,0,0,0,30,1,0,0,0,0,0,0,3,Vic Carapazza,"J.Wentz (7-32-L), W.Vest (99), T.Alexander (2)"
19,20,Apr 23,False,BAL,"L,1-2",9.1,3,2,1,1,1,9,0,0,4.85,32,137,89,2,0,0,0,30,1,0,0,1,0,0,0,4,Nick Mahrley,"E.Rodríguez (4-81), C.Shreve (1-BSv), A.Lange (3), M.Englert (4-L)"
20,21,Apr 24,False,MIL,"W,4-2",9.0,5,2,2,0,1,10,2,1,4.71,34,124,94,0,0,0,0,32,0,0,0,0,0,0,0,5,Marvin Hudson,"M.Boyd (5-56-W), J.Cisnero (2-H), T.Holton (2-H), J.Foley (2-H), A.Lange (0-Sv)"
21,22,Apr 25,False,MIL,"W,4-3",9.0,5,3,3,0,3,10,1,0,4.64,35,151,91,1,0,0,0,32,2,0,0,0,0,0,0,4,Hunter Wendelstedt,"S.Turnbull (5-47), T.Alexander (2), M.Englert (1-W), J.Foley (0-Sv)"
22,23,Apr 26,False,MIL,"L,2-6",8.0,8,6,6,0,3,10,2,1,4.72,37,153,99,0,0,0,0,32,2,0,0,0,0,0,0,3,John Tumpane,"M.Lorenzen (4-36-L), W.Vest (3), T.Holton (1)"
23,24,Apr 27,True,BAL,"L,4-7",9.0,9,7,7,0,3,6,1,0,4.81,39,143,98,1,0,3,0,34,1,1,0,0,2,0,0,5,Charlie Ramos,"J.Wentz (4-58), J.Cisnero (2-H), C.Shreve (3-BL), W.Vest (0), T.Alexander (1)"
24,25,Apr 29(1),True,BAL,"W,7-4",9.0,9,4,4,0,3,7,2,0,4.78,38,157,101,2,0,0,0,35,2,0,0,0,0,0,1,3,Ramon De Jesus,"E.Rodríguez (5-60-W), M.Englert (3-H), A.Lange (4-Sv)"
25,26,Apr 29(2),True,BAL,"L,4-6",9.0,11,6,6,0,3,5,1,0,4.83,39,165,99,0,0,0,1,36,0,0,0,0,0,0,1,4,Edwin Moscoso,"M.Boyd (4-31-L), J.Cisnero (1), J.Foley (3), W.Vest (1)"
26,27,Apr 30,True,BAL,"L,3-5",9.0,9,5,4,1,3,6,2,0,4.8,38,146,89,2,0,1,0,34,4,0,0,0,1,1,2,5,Doug Eddings,"S.Turnbull (4-43-L), T.Holton (3), J.Foley (0), C.Shreve (2), A.Lange (0)"
