,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,CHW,"L,2-3",9.0,11,3,3,0,1,9,1,1,3.0,41,145,97,0.0,0.0,0,0,38,2,0,0,0,0,1,0,5,Bill Miller,"F.Valdez (99-59), B.Abreu (99), H.Neris (99), R.Montero (99-BSv), R.Pressly (99-L)"
1,2,Mar 31,True,CHW,"W,6-3",9.0,11,3,3,0,1,11,0,1,3.0,39,140,106,1.0,0.0,2,0,37,4,0,0,0,0,0,1,5,Rob Drake,"C.Javier (99-44), P.Maton (99), S.Martinez (99-W), B.Abreu (0-H), R.Montero (0-Sv)"
2,3,Apr 1,True,CHW,"W,6-4",9.0,10,4,4,0,4,12,2,0,3.33,41,173,105,2.0,0.0,2,0,37,0,0,0,0,0,0,0,4,Chad Whitson,"J.Urquidy (99-40), R.Blanco (99), R.Stanek (99-W), H.Neris (1-Sv)"
3,4,Apr 2,True,CHW,"L,3-6",9.0,13,6,6,0,3,7,2,2,4.0,45,151,93,2.0,1.0,1,0,40,7,0,0,0,0,0,0,3,Roberto Ortiz,"L.García (99-43-L), P.Maton (1), S.Martinez (1)"
4,5,Apr 3,True,DET,"L,6-7",11.0,9,7,6,1,4,11,2,0,4.21,45,178,117,3.0,1.0,0,1,41,0,0,0,0,0,0,0,7,Ben May,"H.Brown (99-38), P.Maton (0), R.Blanco (1), B.Abreu (2), R.Montero (2), R.Pressly (3), H.Neris (1-L)"
5,6,Apr 4,True,DET,"L,3-6",9.0,12,6,5,1,1,11,1,0,4.34,38,145,96,0.0,0.0,0,1,37,2,0,0,0,0,0,0,3,Jeff Nelson,"F.Valdez (4-59-L), R.Stanek (2), S.Martinez (1)"
6,7,Apr 5,True,DET,"W,8-2",9.0,7,2,2,0,2,9,0,0,4.02,35,144,95,0.0,0.0,4,0,33,0,1,0,0,0,0,1,4,CB Bucknor,"C.Javier (4-63-W), B.Abreu (1-H), R.Montero (1), R.Pressly (1)"
7,8,Apr 7,False,MIN,"L,2-3",9.1,11,3,2,1,4,12,0,0,3.75,42,172,107,2.0,1.0,0,0,38,1,0,1,0,0,0,1,6,Tripp Gibson,"J.Urquidy (5-55), B.Abreu (1-BSv), R.Montero (1), H.Neris (3), R.Pressly (1), R.Stanek (2-BL)"
8,9,Apr 8,False,MIN,"L,6-9",8.0,12,9,9,0,5,6,2,0,4.37,40,151,93,0.0,0.0,0,0,35,2,0,0,0,0,0,0,5,Brennan Miller,"L.García (5-35), P.Maton (4), S.Martinez (3-L), R.Stanek (0), R.Blanco (4)"
9,10,Apr 9,False,MIN,"W,5-1",9.0,2,1,0,1,3,10,0,1,3.94,31,131,79,0.0,0.0,0,1,27,1,0,0,0,0,0,1,3,Mark Carlson,"H.Brown (5-76-W), B.Abreu (1), R.Pressly (1)"
10,11,Apr 10,False,PIT,"W,8-2",9.0,3,2,2,0,5,7,1,1,3.77,33,131,82,0.0,0.0,0,0,27,1,0,0,0,0,0,2,3,Nick Mahrley,"F.Valdez (5-63-W), P.Maton (1), S.Martinez (1)"
11,12,Apr 11,False,PIT,"L,4-7",8.1,10,7,7,0,1,7,3,1,4.06,37,152,97,0.0,0.0,1,0,34,2,0,0,0,1,0,0,4,Adam Hamari,"C.Javier (5-48), R.Stanek (2), R.Montero (3), R.Pressly (1-L)"
12,13,Apr 12,False,PIT,"W,7-0",9.0,3,0,0,0,6,8,0,0,3.75,34,149,95,0.0,0.0,2,1,28,1,0,0,0,0,0,1,4,Jerry Layne,"J.Urquidy (4-67-W), H.Neris (4), B.Abreu (2), R.Blanco (3)"
13,14,Apr 14,True,TEX,"L,2-6",9.0,11,6,6,0,4,11,1,0,3.91,42,172,106,0.0,0.0,0,0,37,2,1,0,1,0,0,0,5,Laz Diaz,"L.García (5-40-L), P.Maton (3), R.Stanek (2), S.Martinez (3), R.Blanco (1)"
14,15,Apr 15,True,TEX,"W,8-2",9.0,7,2,0,2,3,8,0,1,3.65,36,132,84,0.0,0.0,0,0,32,0,0,0,0,0,1,2,3,Erich Bacchus,"H.Brown (5-67-W), B.Abreu (2), R.Montero (3)"
15,16,Apr 16,True,TEX,"L,1-9",9.0,8,9,1,8,2,11,1,1,3.48,40,143,89,3.0,3.0,0,0,36,4,0,0,0,1,2,0,3,Ryan Wills,"F.Valdez (5-57-L), H.Neris (3), R.Blanco (1)"
16,17,Apr 17,True,TOR,"W,9-2",9.0,5,2,2,0,3,11,2,0,3.4,35,161,97,0.0,0.0,0,0,32,0,0,0,0,0,0,0,4,Pat Hoberg,"C.Javier (5-60-W), P.Maton (2), S.Martinez (2), R.Stanek (2)"
17,18,Apr 18,True,TOR,"L,2-4",9.0,8,4,4,0,2,8,2,0,3.43,35,135,92,2.0,0.0,0,1,33,1,0,0,0,0,0,1,5,Nestor Ceja,"J.Urquidy (5-35-L), B.Abreu (2), H.Neris (1), R.Montero (2), R.Pressly (6)"
