,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,MIN,"L,0-2",9.0,11,2,2,0,4,9,0,0,2.0,41,156,98,1.0,1.0,0,0,37,0,1,0,0,0,0,1,5,Todd Tichenor,"Z.Greinke (99-49-L), A.Garrett (99), D.Coleman (99), J.Cuas (99), C.Hernández (99)"
1,2,Apr 1,True,MIN,"L,0-2",9.0,5,2,1,1,2,8,0,0,1.5,34,127,79,2.0,1.0,0,0,31,1,0,0,0,1,0,0,4,Brian Knight,"J.Lyles (99-52-L), R.Yarbrough (99), T.Clarke (99), A.Chapman (99)"
2,3,Apr 2,True,MIN,"L,4-7",9.0,13,7,7,0,5,9,2,1,3.33,44,165,96,4.0,0.0,0,0,38,2,0,0,0,0,0,2,5,Alex Tosi,"B.Keller (99-48-L), A.Garrett (2), D.Coleman (2), J.Cuas (2), S.Barlow (99)"
3,4,Apr 3,True,TOR,"W,9-5",9.0,10,5,5,0,6,8,1,0,3.75,42,182,109,3.0,1.0,1,0,36,2,0,0,0,0,0,1,5,Adam Hamari,"B.Singer (99-59-W), R.Yarbrough (1), J.Cuas (0), D.Coleman (0), T.Clarke (1)"
4,5,Apr 4,True,TOR,"L,1-4",9.0,11,4,4,0,2,7,1,0,3.8,39,153,105,0.0,0.0,2,0,37,2,0,0,0,0,0,0,4,Jerry Layne,"K.Bubic (99-48-L), C.Hernández (4), A.Garrett (1), A.Chapman (2)"
5,6,Apr 5,True,TOR,"L,0-3",9.0,10,3,3,0,2,6,1,0,3.67,38,125,82,0.0,0.0,0,0,36,1,0,0,0,0,0,1,3,Vic Carapazza,"Z.Greinke (5-57-L), T.Clarke (1), D.Coleman (1)"
6,7,Apr 6,True,TOR,"L,3-6",9.0,11,6,6,0,0,12,2,0,4.0,38,149,105,1.0,0.0,0,0,38,3,0,0,0,0,0,0,4,Manny Gonzalez,"J.Lyles (4-42-L), A.Garrett (1), J.Cuas (2), S.Barlow (3)"
7,8,Apr 7,False,SFG,"W,3-1",9.0,5,1,1,0,5,8,0,0,3.62,35,152,95,0.0,0.0,0,0,30,0,1,0,0,0,0,2,4,Clint Vondrak,"B.Keller (4-59-W), R.Yarbrough (3-H), A.Chapman (2-H), S.Barlow (0-Sv)"
8,9,Apr 8,False,SFG,"W,6-5",9.0,12,5,5,0,0,11,1,0,3.78,38,129,94,0.0,0.0,0,0,37,2,0,0,0,1,0,0,4,Adam Beck,"B.Singer (4-40), A.Garrett (1), T.Clarke (2-W), A.Chapman (0-Sv)"
9,10,Apr 9,False,SFG,"L,1-3",8.0,5,3,3,0,1,11,1,1,3.74,31,115,82,1.0,0.0,1,0,29,1,0,0,0,0,0,0,3,Dan Iassogna,"K.Bubic (4-77), C.Hernández (4-H), R.Yarbrough (1-BL)"
10,11,Apr 10,False,TEX,"L,2-11",8.0,11,11,10,1,5,6,3,0,4.36,40,169,101,3.0,3.0,1,0,35,3,0,0,0,0,1,0,4,Cory Blaser,"Z.Greinke (4-43-L), D.Coleman (4), J.Cuas (3), N.Eaton (99)"
11,12,Apr 11,False,TEX,"L,5-8",9.2,10,8,7,1,5,6,1,0,4.56,42,156,92,1.0,0.0,1,0,36,4,0,0,0,1,0,2,5,Carlos Torres,"J.Lyles (4-43), A.Garrett (2), C.Hernández (1), A.Chapman (2), S.Barlow (3-BL)"
12,13,Apr 12,False,TEX,"W,10-1",9.0,4,1,1,0,1,10,1,1,4.28,33,146,91,1.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Jansen Visconti,"B.Keller (4-70-W), J.Cuas (1), T.Clarke (3), R.Yarbrough (2)"
13,14,Apr 14,True,ATL,"L,3-10",9.0,11,10,10,0,3,13,5,0,4.69,41,152,104,0.0,0.0,0,0,38,3,0,0,0,0,0,0,5,Quinn Wolcott,"B.Singer (5-23-L), J.Cuas (1), J.Staumont (99), A.Garrett (2), C.Hernández (2)"
14,15,Apr 15,True,ATL,"L,3-9",9.0,14,9,9,0,4,5,1,2,4.98,46,181,112,3.0,3.0,0,0,40,2,0,0,0,0,0,1,4,Junior Valentine,"K.Bubic (5-29-L), R.Yarbrough (2), C.Hernández (0), S.Barlow (3)"
15,16,Apr 16,True,ATL,"L,4-5",9.0,7,5,5,0,2,12,1,0,4.98,36,138,85,0.0,0.0,1,0,33,2,1,0,0,1,1,0,4,Adrian Johnson,"Z.Greinke (5-53), J.Taylor (99), A.Chapman (4), S.Barlow (0-L)"
16,17,Apr 17,True,TEX,"L,0-4",9.0,5,4,3,1,4,3,2,1,4.87,36,113,66,0.0,0.0,0,0,31,0,0,0,0,0,1,1,2,Bruce Dreckman,"J.Lyles (5-60-L), T.Clarke (4)"
17,18,Apr 18,True,TEX,"L,2-12",9.0,12,12,12,0,8,7,2,1,5.27,45,185,106,2.0,2.0,1,0,35,1,0,0,0,1,0,2,6,Stu Scheurwater,"B.Keller (5-41-L), J.Cuas (3), C.Hernández (2), A.Garrett (3), J.Staumont (3), J.Taylor (1)"
18,19,Apr 19,True,TEX,"L,3-12",9.0,13,12,11,1,6,11,1,0,5.57,46,196,117,0.0,0.0,1,0,38,2,1,0,0,1,0,0,5,Malachi Moore,"B.Singer (4-36-L), C.Hernández (0), T.Clarke (1), A.Chapman (2), S.Barlow (2)"
19,20,Apr 21,False,LAA,"L,0-2",8.0,6,2,2,0,2,4,1,2,5.42,32,111,71,0.0,0.0,0,0,28,0,0,0,0,0,0,2,4,Phil Cuzzi,"T.Clarke (1-57), R.Yarbrough (5-L), A.Garrett (2), J.Staumont (2)"
20,21,Apr 22,False,LAA,"W,11-8",9.0,12,8,8,0,0,9,4,0,5.54,39,128,92,0.0,0.0,0,0,39,1,0,0,0,0,0,0,5,Mark Ripperger,"Z.Greinke (5-39), C.Hernández (2-BSv), A.Chapman (2), J.Cuas (3-W), S.Barlow (2-Sv)"
21,22,Apr 23,False,LAA,"L,3-4",8.0,7,4,4,0,1,8,3,0,5.5,33,121,79,0.0,0.0,0,0,31,2,0,0,0,1,1,0,3,Shane Livensparger,"J.Lyles (5-52-L), A.Garrett (1), J.Taylor (4)"
22,23,Apr 24,False,ARI,"L,4-5",8.0,7,5,5,0,8,6,0,0,5.51,37,160,93,0.0,0.0,0,1,28,1,0,0,0,1,0,2,4,D.J. Reyburn,"B.Keller (5-34), C.Hernández (1), J.Cuas (1), A.Chapman (1-L)"
23,24,Apr 25,False,ARI,"W,5-4",9.0,10,4,3,1,3,9,0,0,5.4,40,159,103,1.0,0.0,3,0,36,3,1,0,0,1,0,0,4,John Libka,"B.Singer (5-63-W), T.Clarke (3-H), A.Chapman (0-H), S.Barlow (2-Sv)"
24,25,Apr 26,False,ARI,"L,0-2",8.0,6,2,2,0,2,9,0,2,5.29,32,142,93,0.0,0.0,0,1,27,0,0,0,1,0,0,1,5,Edwin Jimenez,"R.Yarbrough (4-51-L), A.Garrett (2), J.Staumont (4), J.Taylor (2), J.Cuas (1)"
25,26,Apr 27,False,MIN,"L,1-7",8.0,10,7,7,0,2,9,2,0,5.38,35,139,89,0.0,0.0,0,0,33,2,0,0,0,0,0,1,4,Nick Mahrley,"Z.Greinke (4-18-L), C.Hernández (2), J.Staumont (0), J.Cuas (0)"
26,27,Apr 28,False,MIN,"L,6-8",8.0,8,8,8,0,5,10,3,0,5.5,36,144,83,0.0,0.0,1,0,30,3,1,0,0,1,0,1,4,Jerry Layne,"J.Lyles (4-20-L), J.Taylor (1), A.Garrett (1), T.Clarke (2)"
27,28,Apr 29,False,MIN,"W,3-2",9.0,10,2,2,0,5,7,1,1,5.37,41,146,89,1.0,0.0,0,0,35,1,0,0,0,0,0,1,5,Brock Ballou,"B.Keller (4-51), J.Cuas (1), T.Clarke (0), A.Chapman (3-W), S.Barlow (3-Sv)"
28,29,Apr 30,False,MIN,"L,4-8",8.0,7,8,8,0,4,14,1,1,5.49,37,151,99,2.0,2.0,1,0,31,1,0,0,1,0,0,0,5,Vic Carapazza,"B.Singer (4-18-L), J.Staumont (2), A.Garrett (1), C.Hernández (2), J.Taylor (1)"
29,30,May 2,True,BAL,"L,7-11",9.0,15,11,11,0,8,14,2,0,5.68,49,213,131,2.0,0.0,0,1,41,3,0,0,0,0,0,0,6,Chad Whitson,"R.Yarbrough (5-33-L), J.Cuas (2), J.Taylor (1), C.Hernández (1), T.Clarke (2), S.Barlow (2)"
30,31,May 3,True,BAL,"W,6-0",9.0,6,0,0,0,1,6,0,0,5.49,32,102,70,0.0,0.0,0,0,31,1,0,0,0,0,0,2,5,Roberto Ortiz,"Z.Greinke (5-64-W), T.Clarke (0-H), A.Chapman (3-H), A.Garrett (2), J.Staumont (2)"
31,32,May 4,True,BAL,"L,10-13",9.0,10,13,11,2,9,6,2,1,5.66,47,182,106,4.0,1.0,5,0,37,3,0,0,0,0,1,1,5,Rob Drake,"J.Lyles (5-28), A.Cox (99), A.Chapman (0-BL), A.Garrett (0), J.Staumont (0)"
32,33,May 5,True,OAK,"L,8-12",9.0,17,12,11,1,7,5,2,0,5.83,49,191,116,1.0,1.0,2,0,41,6,0,1,0,1,0,1,4,Paul Emmel,"B.Keller (5-12-L), J.Heasley (99), J.Taylor (2), C.Hernández (2)"
33,34,May 6,True,OAK,"L,4-5",9.0,9,5,5,0,4,12,1,2,5.81,41,175,102,0.0,0.0,1,0,35,3,1,0,0,0,0,0,5,Chad Fairchild,"B.Singer (5-31-L), T.Clarke (2), J.Taylor (0), J.Staumont (1), S.Barlow (3)"
