,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,OAK,"L,1-2",8.0,6,2,2,0,4,12,0,0,2.25,33,135,82,1.0,1.0,1,0,29,2,0,1,0,0,0,1,4,Adrian Johnson,"S.Ohtani (99-75), J.Herget (99-H), A.Loup (99-BL), R.Tepera (99)"
1,2,Apr 1,False,OAK,"W,13-1",9.0,5,1,1,0,3,5,1,0,1.59,34,127,81,0.0,0.0,0,0,30,0,0,0,0,0,1,3,2,Manny Gonzalez,"P.Sandoval (99-59-W), T.Davidson (99-Sv)"
2,3,Apr 2,False,OAK,"W,6-0",9.0,5,0,0,0,3,9,0,1,1.04,35,145,90,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Quinn Wolcott,"T.Anderson (99-66-W), A.Wantz (99), C.Estévez (99)"
3,4,Apr 3,False,SEA,"W,7-3",9.0,5,3,2,1,4,8,0,1,1.29,38,154,92,2.0,0.0,2,0,33,3,0,0,0,0,1,0,6,Charlie Ramos,"R.Detmers (99-50), R.Tepera (3-W), M.Moore (99-H), J.Herget (3-H), J.Quijada (99-H), C.Estévez (0)"
4,5,Apr 4,False,SEA,"L,2-11",8.0,13,11,10,1,0,9,4,0,3.14,37,133,96,1.0,1.0,0,0,37,4,0,0,0,0,1,0,2,Brian O'Nora,"J.Suarez (99-25-L), J.Barría (99)"
5,6,Apr 5,False,SEA,"W,4-3",9.0,8,3,3,0,4,10,0,2,3.12,38,168,101,1.0,1.0,0,0,32,1,0,0,0,0,0,1,4,Pat Hoberg,"S.Ohtani (5-66-W), M.Moore (1-H), J.Herget (1-H), J.Quijada (1-Sv)"
6,7,Apr 7,True,TOR,"L,3-4",9.0,9,4,4,0,1,7,1,0,3.25,36,129,82,1.0,1.0,0,1,35,1,0,0,0,0,0,0,4,Brian Knight,"P.Sandoval (5-57), M.Moore (1-H), J.Herget (1-BL), A.Wantz (4)"
7,8,Apr 8,True,TOR,"W,9-5",9.0,10,5,5,0,4,10,3,1,3.47,41,160,105,4.0,0.0,0,1,36,1,0,0,0,0,0,0,6,Tony Randazzo,"T.Anderson (5-32), J.Barría (3-W), R.Tepera (4-H), A.Loup (8-H), J.Quijada (2-H), C.Estévez (4)"
8,9,Apr 9,True,TOR,"L,11-12",10.0,13,12,9,3,4,10,1,2,4.05,49,191,122,3.0,3.0,2,0,43,1,1,1,0,0,1,0,6,Alex MacKay,"R.Detmers (5-42), A.Wantz (1-BSv), R.Tepera (0), A.Loup (0), J.Barría (0), C.Estévez (0-L)"
9,10,Apr 10,True,WSN,"L,4-6",9.0,14,6,6,0,2,6,0,0,4.25,43,154,100,0.0,0.0,2,0,40,2,0,0,1,0,0,0,4,Ramon De Jesus,"J.Suarez (5-27), T.Davidson (8-L), J.Herget (2), M.Moore (2)"
10,11,Apr 11,True,WSN,"W,2-0",9.0,1,0,0,0,6,6,0,1,3.86,34,124,77,0.0,0.0,0,0,27,1,0,0,0,0,0,1,3,Alfonso Márquez,"S.Ohtani (5-76-W), J.Quijada (2-H), C.Estévez (1-Sv)"
11,12,Apr 12,True,WSN,"W,3-2",9.0,6,2,2,0,0,6,0,1,3.7,33,119,84,0.0,0.0,0,0,32,0,0,0,0,0,0,1,5,Doug Eddings,"G.Canning (99-53), M.Moore (1-W), A.Loup (2-H), R.Tepera (2-H), J.Quijada (0-Sv)"
12,13,Apr 14,False,BOS,"L,3-5",8.0,5,5,1,4,6,9,1,2,3.52,39,167,97,4.0,0.0,0,0,31,1,0,0,0,0,3,1,4,Ron Kulpa,"P.Sandoval (6-54), J.Herget (3-L), A.Loup (1), J.Barría (4)"
13,14,Apr 15,False,BOS,"L,7-9",8.0,11,9,7,2,5,6,2,1,3.8,40,157,94,3.0,0.0,1,0,32,3,0,0,0,0,0,2,5,Cory Blaser,"T.Anderson (6-20), M.Moore (2), C.Estévez (3-H), R.Tepera (2-BL), T.Davidson (4)"
14,15,Apr 16,False,BOS,"L,1-2",8.0,7,2,2,0,1,7,1,1,3.71,30,112,76,1.0,0.0,1,0,28,0,0,0,0,0,0,3,2,Carlos Torres,"R.Detmers (6-59-L), A.Wantz (6)"
15,16,Apr 17,False,BOS,"W,5-4",9.0,8,4,4,0,5,9,0,0,3.73,40,165,108,1.0,1.0,1,0,34,3,0,0,0,1,0,0,6,Jansen Visconti,"S.Ohtani (5-54), T.Davidson (1-W), A.Loup (2), M.Moore (1-H), J.Quijada (4-H), C.Estévez (1-Sv)"
16,17,Apr 18,False,NYY,"W,5-2",9.0,4,2,2,0,7,8,0,0,3.62,37,150,85,3.0,2.0,0,0,29,1,0,0,0,1,0,0,5,Dan Merzel,"J.Suarez (7-41), A.Wantz (1-W), J.Herget (3-H), J.Barría (3-H), J.Quijada (0-Sv)"
17,18,Apr 19,False,NYY,"L,2-3",9.2,6,3,2,1,5,8,1,2,3.52,40,169,103,2.0,0.0,2,0,32,1,0,1,0,1,0,1,4,Lance Barksdale,"G.Canning (6-53), J.Barría (0), C.Estévez (1), M.Moore (1-L)"
18,19,Apr 20,False,NYY,"L,3-9",8.0,9,9,9,0,11,10,0,1,3.83,44,183,103,1.0,1.0,1,0,32,2,0,1,0,0,0,1,4,Will Little,"P.Sandoval (5-33-L), T.Davidson (2), J.Herget (1), A.Loup (2)"
19,20,Apr 21,True,KCR,"W,2-0",9.0,3,0,0,0,2,14,0,0,3.64,30,124,81,0.0,0.0,0,0,28,0,0,0,0,0,0,2,3,Phil Cuzzi,"S.Ohtani (3-82-W), C.Estévez (1-H), J.Quijada (2-Sv)"
20,21,Apr 22,True,KCR,"L,8-11",9.0,12,11,10,1,2,3,0,3,3.95,43,131,94,6.0,5.0,0,0,38,4,1,0,0,0,0,0,5,Mark Ripperger,"T.Anderson (6-33), A.Wantz (3-BSv), M.Moore (2), J.Quijada (0-BL), A.Warren (99)"
21,22,Apr 23,True,KCR,"W,4-3",9.0,8,3,3,0,1,9,3,1,3.9,35,126,85,1.0,0.0,1,0,33,0,0,0,0,0,0,1,4,Shane Livensparger,"R.Detmers (6-52), A.Warren (0-W), M.Moore (0-H), C.Estévez (1-Sv)"
22,23,Apr 24,True,OAK,"L,10-11",10.0,14,11,9,2,6,11,5,0,4.11,49,175,117,3.0,1.0,1,1,42,2,0,1,1,0,0,0,4,Nate Tomlinson,"J.Suarez (5-26), T.Davidson (3), A.Wantz (1-H), J.Barría (4-BL)"
23,24,Apr 25,True,OAK,"W,5-3",9.0,6,3,3,0,4,11,1,0,4.06,37,146,93,2.0,1.0,0,0,33,3,1,1,0,0,0,0,4,Sean Barber,"G.Canning (5-52-W), A.Loup (4-H), M.Moore (1-H), C.Estévez (1-Sv)"
24,25,Apr 26,True,OAK,"W,11-3",9.0,6,3,2,1,2,7,1,1,3.98,36,144,94,0.0,0.0,4,0,33,1,0,0,0,0,0,0,2,Jim Wolf,"P.Sandoval (5-60-W), C.Silseth (99)"
25,26,Apr 27,True,OAK,"W,8-7",9.0,7,7,6,1,3,11,2,3,4.06,41,150,103,2.0,0.0,1,0,35,1,0,0,0,0,0,0,5,Mike Muchlinski,"S.Ohtani (5-52-W), M.Moore (1-H), J.Quijada (4-H), A.Loup (1-H), C.Estévez (1-Sv)"
26,27,Apr 28,False,MIL,"L,1-2",8.0,8,2,2,0,3,8,1,0,4.0,35,132,86,1.0,0.0,0,0,32,0,0,0,0,0,0,0,2,Scott Barry,"T.Anderson (5-64), A.Loup (0-L)"
27,28,Apr 29,False,MIL,"L,5-7",8.0,5,7,4,3,5,11,0,1,4.01,36,152,98,3.0,3.0,0,0,30,2,0,0,0,0,0,0,3,Adam Beck,"R.Detmers (5-36-L), A.Wantz (4), J.Barría (4)"
28,29,Apr 30,False,MIL,"W,3-0",9.0,3,0,0,0,4,10,0,0,3.87,32,135,86,0.0,0.0,0,0,28,2,0,0,0,0,0,2,5,Clint Vondrak,"J.Suarez (5-66-W), C.Devenski (99-H), C.Silseth (3-H), M.Moore (2-H), C.Estévez (2-Sv)"
