,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,ARI,"W,8-2",9.0,4,2,2,0,0,8,0,1,2.0,30,114,81,0,0,0,0,28,1,0,0,0,1,1,2,4,Marvin Hudson,"J.Urías (99-62-W), P.Bickford (99), S.Miller (99), Y.Almonte (99)"
1,2,Mar 31,True,ARI,"L,1-2",9.0,7,2,2,0,1,5,1,0,2.0,35,122,83,1,0,0,0,34,2,0,0,0,0,0,0,4,Hunter Wendelstedt,"D.May (99-74), A.Vesia (99-BL), E.Phillips (99), C.Ferguson (99)"
2,3,Apr 1,True,ARI,"W,10-1",9.0,5,1,1,0,0,10,1,0,1.67,32,118,86,0,0,0,0,32,2,0,0,0,0,1,1,2,John Tumpane,"C.Kershaw (99-69-W), A.Jackson (99-Sv)"
3,4,Apr 2,True,ARI,"L,1-2",9.0,9,2,2,0,0,6,0,1,1.75,34,124,82,1,0,4,0,33,2,0,0,0,0,0,2,4,Ryan Blakney,"N.Syndergaard (99-66), C.Ferguson (1), E.Phillips (1), B.Graterol (99-L)"
4,5,Apr 3,True,COL,"W,13-4",9.0,6,4,4,0,3,12,0,0,2.2,35,146,93,3,2,0,0,32,2,0,0,0,0,0,1,5,Mark Carlson,"M.Grove (99-48), Y.Almonte (3-W), A.Vesia (2), P.Bickford (3), S.Miller (3)"
5,6,Apr 4,True,COL,"W,5-2",9.0,7,2,2,0,2,7,0,1,2.17,36,134,86,2,1,0,0,32,4,0,0,0,1,1,2,5,Jordan Baker,"J.Urías (4-68-W), C.Ferguson (1), B.Graterol (1), P.Bickford (0), E.Phillips (1-Sv)"
6,7,Apr 6,False,ARI,"W,5-2",9.0,5,2,2,0,3,8,0,0,2.14,35,147,97,1,0,0,0,32,3,1,0,0,0,0,0,5,Ramon De Jesus,"D.May (5-67-W), A.Vesia (2), Y.Almonte (2-H), P.Bickford (1-H), E.Phillips (1-Sv)"
7,8,Apr 7,False,ARI,"L,3-6",8.0,10,6,6,0,2,5,2,1,2.66,36,126,80,1,0,1,0,33,3,0,0,0,0,0,1,4,Alfonso Márquez,"C.Kershaw (5-44-L), B.Graterol (2), Y.Almonte (0), S.Miller (3)"
8,9,Apr 8,False,ARI,"L,8-12",8.0,17,12,12,0,0,6,2,2,3.76,42,138,95,0,0,2,0,39,4,2,0,0,1,0,0,4,Doug Eddings,"N.Syndergaard (5-24-L), A.Vesia (1), B.Graterol (0), A.Jackson (6)"
9,10,Apr 9,False,ARI,"L,6-11",8.0,16,11,11,0,4,10,0,0,4.55,44,149,89,3,2,5,0,40,4,0,0,0,0,0,0,4,Lance Barrett,"M.Grove (5-3-L), C.Ferguson (4), S.Miller (1), P.Bickford (2)"
