,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,NYM,"L,3-5",9.0,8,5,5,0,5,5,0,1,5.0,40,157,95,3.0,0.0,1,0,32,1,0,0,0,2,0,0,5,Larry Vanover,"S.Alcántara (99-49), A.Nardi (99), T.Scott (99-L), J.Chargois (99), H.Brazobán (99)"
1,2,Mar 31,True,NYM,"W,2-1",9.0,4,1,1,0,4,8,1,0,3.0,33,126,79,3.0,0.0,1,1,29,1,0,0,0,0,0,1,4,Chris Guccione,"J.Luzardo (99-66-W), J.Chargois (0-H), D.Floro (99-H), A.Puk (99-Sv)"
2,3,Apr 1,True,NYM,"L,2-6",9.0,12,6,6,0,6,5,1,0,4.0,45,176,104,0.0,0.0,1,0,38,5,0,0,0,1,0,0,4,David Rackley,"E.Cabrera (99-46), A.Nardi (1-L), M.Barnes (99), B.Garrett (99)"
3,4,Apr 2,True,NYM,"L,1-5",9.0,5,5,4,1,4,7,1,3,4.0,38,145,94,1.0,0.0,1,0,31,1,0,0,0,0,0,1,4,Edwin Moscoso,"T.Rogers (99-43-L), H.Brazobán (2), T.Scott (2), M.Barnes (0)"
4,5,Apr 3,True,MIN,"L,1-11",9.0,10,11,11,0,4,3,4,0,5.4,40,159,92,0.0,0.0,0,0,36,1,1,0,0,0,0,1,5,Mike Estabrook,"J.Cueto (99-30-L), J.Lindgren (99), A.Nardi (1), J.Chargois (2), J.Stallings (99)"
5,6,Apr 4,True,MIN,"W,1-0",9.0,3,0,0,0,1,5,0,0,4.5,30,100,68,,,0,0,29,0,0,0,0,0,0,1,1,Laz Diaz,S.Alcántara (4-85-W)
6,7,Apr 5,True,MIN,"W,5-2",9.0,6,2,1,1,2,12,0,0,4.0,35,142,98,0.0,0.0,1,1,33,1,0,0,0,0,1,0,3,Andy Fletcher,"J.Luzardo (4-72), D.Floro (4-W), A.Puk (4)"
7,8,Apr 7,False,NYM,"L,3-9",8.0,6,9,9,0,12,11,3,1,4.69,42,185,102,5.0,1.0,2,0,28,0,0,0,0,1,0,0,6,Chris Segal,"E.Cabrera (5-47-L), H.Brazobán (4), A.Nardi (3), M.Barnes (4), T.Scott (4), D.Castano (99)"
8,9,Apr 8,False,NYM,"L,2-5",8.0,8,5,5,0,3,8,2,1,4.78,37,159,100,1.0,0.0,0,0,33,2,0,0,0,0,1,0,5,Ben May,"T.Rogers (5-47-L), H.Brazobán (0), A.Nardi (0), M.Barnes (0), J.Chargois (4)"
9,10,Apr 9,False,NYM,"W,7-2",9.0,9,2,2,0,2,12,0,0,4.5,39,142,93,2.0,0.0,1,0,37,4,0,0,0,0,2,1,5,Jeff Nelson,"B.Garrett (7-44), T.Scott (1-W), J.Chargois (0), D.Floro (3), A.Puk (3)"
10,11,Apr 10,False,PHI,"L,3-15",8.0,20,15,14,1,2,6,3,0,5.44,46,145,94,2.0,2.0,2,0,44,5,0,0,0,0,0,0,2,John Libka,"S.Alcántara (5-9-L), D.Smeltzer (99)"
11,12,Apr 11,False,PHI,"W,8-4",9.0,11,4,4,0,4,9,1,1,5.31,40,153,100,0.0,0.0,0,0,35,2,0,0,0,0,0,2,3,Nate Tomlinson,"J.Luzardo (5-48-W), D.Floro (1-H), H.Brazobán (2)"
12,13,Apr 12,False,PHI,"W,3-2",10.0,8,2,2,0,1,12,0,0,5.01,38,145,95,0.0,0.0,2,0,37,3,0,0,0,0,0,1,5,James Hoye,"E.Cabrera (4-48), T.Scott (2), A.Nardi (3), D.Floro (0), A.Puk (2-W)"
13,14,Apr 14,True,ARI,"W,5-1",9.0,6,1,1,0,1,8,0,0,4.72,34,134,93,2.0,1.0,1,0,33,0,0,0,0,0,0,0,4,Jeremie Rehak,"T.Rogers (5-64-W), H.Brazobán (2), D.Floro (1), A.Puk (1)"
14,15,Apr 15,True,ARI,"W,3-2",9.0,6,2,2,0,3,8,0,1,4.53,36,134,88,2.0,0.0,0,0,31,2,0,0,0,1,0,1,5,Paul Emmel,"B.Garrett (5-61), M.Barnes (6), A.Nardi (2-W), H.Brazobán (0-H), T.Scott (2-Sv)"
15,16,Apr 16,True,ARI,"L,0-5",9.0,7,5,3,2,0,11,1,0,4.44,34,107,77,0.0,0.0,0,0,33,2,0,0,1,0,2,1,2,Chad Fairchild,"S.Alcántara (5-53-L), G.Soriano (99)"
16,17,Apr 17,True,SFG,"W,4-3",9.0,7,3,3,0,3,9,0,1,4.35,37,154,103,2.0,0.0,0,0,32,3,0,0,1,0,1,1,5,Doug Eddings,"J.Luzardo (5-43), A.Nardi (1), M.Barnes (1-W), D.Floro (2-H), A.Puk (2-Sv)"
17,18,Apr 18,True,SFG,"W,4-2",9.0,7,2,2,0,2,12,1,0,4.22,35,131,85,0.0,0.0,1,1,33,1,0,0,0,0,0,0,4,Lance Barrett,"E.Cabrera (5-58-W), T.Scott (2-H), D.Floro (0-H), A.Puk (0-Sv)"
18,19,Apr 19,True,SFG,"L,2-5",11.0,7,5,4,1,3,11,2,2,4.16,44,179,114,3.0,0.0,0,0,39,2,0,0,0,0,0,0,7,Charlie Ramos,"T.Rogers (4-51), G.Soriano (2), M.Barnes (1), A.Nardi (1), H.Brazobán (3), T.Scott (0), D.Smeltzer (8-L)"
19,20,Apr 22(1),False,CLE,"W,6-1",9.0,4,1,1,0,2,7,0,0,4.0,31,124,77,0.0,0.0,0,0,29,1,0,0,0,0,0,1,5,Ryan Additon,"D.Smeltzer (2-54), A.Nardi (2-W), H.Brazobán (2-H), M.Barnes (2), S.Okert (99)"
20,21,Apr 22(2),False,CLE,"W,3-2",9.0,7,2,2,0,4,6,0,1,3.9,37,137,91,4.0,0.0,0,0,32,1,0,0,0,0,0,1,4,Dan Merzel,"B.Garrett (6-57-W), T.Scott (2-H), D.Floro (3-H), A.Puk (3-Sv)"
21,22,Apr 23,False,CLE,"L,4-7",8.0,13,7,6,1,2,8,2,0,4.02,40,166,106,1.0,0.0,2,0,37,3,1,0,0,1,0,0,3,Lance Barksdale,"J.Luzardo (5-36-L), M.Barnes (0), G.Soriano (3)"
22,23,Apr 24,False,ATL,"L,0-11",8.0,12,11,11,0,6,9,5,0,4.35,43,170,101,1.0,1.0,1,0,37,1,1,0,0,0,0,0,3,Alfonso Márquez,"E.Cabrera (5-41-L), S.Okert (1), S.Nolin (99)"
