,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,CHC,"L,0-4",8.0,6,4,4,0,4,5,0,1,4.5,35,124,81,0.0,0.0,0,0,30,0,0,0,0,0,0,1,4,Ron Kulpa,"C.Burnes (99-43-L), P.Strzelecki (99), G.Varland (99), J.Guerra (99)"
1,2,Apr 1,False,CHC,"W,3-1",9.0,5,1,1,0,1,10,1,0,2.65,32,143,97,0.0,0.0,0,0,31,1,0,0,0,0,0,1,4,Cory Blaser,"B.Woodruff (99-69), P.Strzelecki (1-W), M.Bush (99-H), D.Williams (99-Sv)"
2,3,Apr 2,False,CHC,"W,9-5",9.0,9,5,5,0,4,8,2,0,3.46,38,149,84,2.0,1.0,1,1,33,1,0,0,0,1,0,1,5,Carlos Torres,"E.Lauer (99-54-W), J.Payamps (99), J.Guerra (2), H.Milner (99), G.Varland (2)"
3,4,Apr 3,True,NYM,"W,10-0",9.0,3,0,0,0,6,9,0,1,2.57,36,134,75,0.0,0.0,0,0,29,0,0,0,0,0,0,0,2,Alan Porter,"F.Peralta (99-72-W), B.Wilson (99-Sv)"
4,5,Apr 4,True,NYM,"W,9-0",9.0,8,0,0,0,0,3,0,1,2.05,35,128,81,0.0,0.0,0,0,34,0,0,0,0,0,0,1,4,Jim Wolf,"W.Miley (99-65-W), P.Strzelecki (2), H.Milner (1), J.Guerra (1)"
5,6,Apr 5,True,NYM,"W,7-6",9.0,7,6,6,0,3,5,2,1,2.72,37,143,90,1.0,0.0,2,0,33,3,0,0,0,0,0,1,5,Mike Muchlinski,"C.Burnes (5-26), H.Milner (0), P.Strzelecki (0), M.Bush (3), D.Williams (3-W)"
6,7,Apr 7,True,STL,"W,4-0",9.0,5,0,0,0,5,8,0,0,2.32,35,155,89,2.0,0.0,0,1,30,0,0,0,0,0,0,1,6,Adam Hamari,"B.Woodruff (5-62-W), J.Payamps (4-H), G.Varland (4-H), H.Milner (1-H), M.Bush (1), B.Wilson (3)"
7,8,Apr 8,True,STL,"L,0-6",9.0,12,6,6,0,4,9,2,1,2.79,43,170,108,0.0,0.0,0,0,37,1,0,0,0,1,0,1,4,Jerry Layne,"E.Lauer (5-25-L), G.Varland (0), J.Guerra (3), J.Payamps (0)"
8,9,Apr 9,True,STL,"W,6-1",9.0,6,1,1,0,6,11,0,0,2.59,40,170,103,3.0,0.0,0,0,33,1,0,0,0,0,0,0,5,Vic Carapazza,"F.Peralta (5-64-W), P.Strzelecki (3-H), M.Bush (1), H.Milner (1-H), D.Williams (3)"
9,10,Apr 10,False,ARI,"L,0-3",8.0,8,3,3,0,3,6,1,0,2.66,35,144,93,0.0,0.0,0,0,32,2,0,0,0,0,0,1,3,Scott Barry,"W.Miley (5-45-L), B.Wilson (2), J.Guerra (1)"
10,11,Apr 11,False,ARI,"W,7-1",9.0,4,1,1,0,1,8,0,0,2.51,31,112,78,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Clint Vondrak,"C.Burnes (5-84-W), J.Payamps (2)"
11,12,Apr 12,False,ARI,"L,3-7",8.0,12,7,6,1,2,3,2,0,2.83,39,135,92,2.0,0.0,0,0,36,5,0,0,0,0,1,0,4,Gabe Morales,"J.Junk (99-32-L), H.Milner (2), G.Varland (3), J.Guerra (1)"
12,13,Apr 13,False,SDP,"W,4-3",10.0,6,3,3,0,2,13,2,0,2.82,36,163,103,0.0,0.0,0,0,34,0,0,0,0,0,0,2,5,Mark Ripperger,"C.Rea (99-66), P.Strzelecki (3-H), M.Bush (3-BSv), D.Williams (3-W), J.Payamps (1-Sv)"
13,14,Apr 14,False,SDP,"W,11-2",9.0,9,2,2,0,2,7,1,0,2.76,36,144,93,0.0,0.0,0,0,34,3,0,0,0,0,0,1,2,Shane Livensparger,"E.Lauer (5-61-W), B.Wilson (3-Sv)"
