,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,KCR,"W,2-0",9.0,2,0,0,0,5,11,0,1,0.0,33,127,77,0.0,0.0,0,0,27,1,0,0,0,0,0,2,5,Todd Tichenor,"P.López (99-69-W), C.Thielbar (99-H), J.López (99-H), G.Jax (99-H), J.Durán (99-Sv)"
1,2,Apr 1,False,KCR,"W,2-0",9.0,4,0,0,0,5,5,0,0,0.0,35,132,86,0.0,0.0,0,0,30,1,0,0,0,0,1,2,5,Brian Knight,"S.Gray (99-58-W), J.Alcalá (99-H), G.Jax (1-H), C.Thielbar (1-H), J.López (1-Sv)"
2,3,Apr 2,False,KCR,"W,7-4",9.0,6,4,4,0,3,9,2,0,1.33,36,127,82,0.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Alex Tosi,"J.Ryan (99-66-W), J.Morán (99), J.López (0), E.Pagán (99)"
3,4,Apr 3,False,MIA,"W,11-1",9.0,12,1,1,0,1,11,0,0,1.25,37,136,90,0.0,0.0,0,0,36,2,0,0,0,0,0,2,3,Mike Estabrook,"T.Mahle (99-59-W), J.Alcalá (1), C.Sands (99)"
4,5,Apr 4,False,MIA,"L,0-1",8.0,3,1,1,0,1,12,1,0,1.23,27,120,75,1.0,0.0,1,0,26,0,0,0,0,0,0,1,3,Laz Diaz,"K.Maeda (99-66-L), E.Pagán (1), J.Morán (1)"
5,6,Apr 5,False,MIA,"L,2-5",8.0,7,5,5,0,1,10,2,0,1.9,30,110,76,2.0,2.0,1,2,29,0,0,0,0,0,0,0,3,Andy Fletcher,"P.López (5-74), G.Jax (3-L), C.Thielbar (3)"
6,7,Apr 7,True,HOU,"W,3-2",10.0,5,2,1,1,2,16,0,0,1.74,37,138,89,0.0,0.0,0,0,34,2,0,0,1,0,0,0,4,Tripp Gibson,"S.Gray (5-77), G.Jax (1), J.Durán (7), J.López (4-W)"
7,8,Apr 8,True,HOU,"W,9-6",9.0,7,6,6,0,1,17,2,0,2.28,36,130,88,2.0,0.0,0,0,35,0,0,0,0,0,1,0,5,Brennan Miller,"J.Ryan (5-59-W), J.López (0-H), G.Jax (0-H), J.Morán (3), J.Durán (0-Sv)"
8,9,Apr 9,True,HOU,"L,1-5",9.0,11,5,4,1,3,7,1,0,2.48,38,160,104,2.0,1.0,1,1,35,3,0,0,0,0,1,2,3,Mark Carlson,"T.Mahle (5-45-L), J.Alcalá (5), E.Pagán (4)"
9,10,Apr 10,True,CHW,"L,3-4",9.0,8,4,4,0,2,6,1,0,2.63,37,128,82,0.0,0.0,0,0,35,2,0,0,0,0,0,0,3,Mike Muchlinski,"K.Maeda (5-43-L), C.Thielbar (4), J.Morán (1)"
10,11,Apr 11,True,CHW,"W,4-3",10.0,4,3,3,0,1,14,1,0,2.64,35,134,95,0.0,0.0,0,0,34,1,0,0,0,0,0,0,4,Sean Barber,"P.López (5-74), C.Thielbar (0-H), J.Durán (2-BSv), G.Jax (2-W)"
11,12,Apr 12,True,CHW,"W,3-1",9.0,6,1,1,0,3,5,1,0,2.5,35,132,82,0.0,0.0,0,0,32,2,0,0,0,0,0,1,5,Alan Porter,"S.Gray (4-64-W), J.Alcalá (2-H), J.López (3-H), G.Jax (0-H), J.Durán (0-Sv)"
12,13,Apr 13,False,NYY,"W,11-2",9.0,4,2,2,0,0,12,2,0,2.46,31,115,83,0.0,0.0,0,0,31,0,0,0,0,0,0,0,2,D.J. Reyburn,"J.Ryan (4-77-W), C.Sands (9)"
13,14,Apr 14,False,NYY,"W,4-3",9.0,8,3,3,0,1,11,3,0,2.5,35,120,81,0.0,0.0,1,0,34,0,0,0,0,0,0,1,4,John Libka,"L.Varland (99-55), E.Pagán (4-W), J.López (1-H), J.Durán (1-Sv)"
14,15,Apr 15,False,NYY,"L,1-6",8.0,6,6,4,2,5,9,2,1,2.62,37,160,90,2.0,0.0,3,0,31,2,0,0,0,0,1,0,3,Nate Tomlinson,"T.Mahle (5-45-L), J.Morán (4), J.Alcalá (2)"
15,16,Apr 16,False,NYY,"L,0-2",8.0,7,2,2,0,2,10,1,1,2.6,33,131,84,0.0,0.0,1,1,30,0,0,0,0,0,0,0,3,James Hoye,"P.López (4-56-L), G.Jax (3), E.Pagán (1)"
16,17,Apr 18,False,BOS,"L,4-5",9.2,12,5,3,2,3,14,0,0,2.61,46,197,130,0.0,0.0,0,0,43,4,0,0,0,0,1,1,6,Jordan Baker,"S.Gray (5-54), J.López (3), C.Thielbar (6-H), G.Jax (1-BSv), J.Durán (3), J.Morán (2-BL)"
17,18,Apr 19,False,BOS,"W,10-4",9.0,7,4,4,0,3,6,1,1,2.69,37,147,99,0.0,0.0,0,0,32,2,0,0,0,1,0,1,2,Tripp Gibson,"J.Ryan (5-50-W), B.Headrick (99-Sv)"
18,19,Apr 20,False,BOS,"L,5-11",8.0,14,11,11,0,3,4,2,0,3.15,41,160,102,2.0,0.0,0,0,37,3,0,0,0,1,0,0,5,Brennan Miller,"K.Maeda (9-49-L), E.Pagán (3), J.Alcalá (4), J.Morán (1), W.Castro (99)"
19,20,Apr 21,True,WSN,"L,2-3",9.0,6,3,3,0,0,6,1,0,3.14,34,151,93,0.0,0.0,0,0,34,1,0,0,0,0,1,0,4,Brian O'Nora,"T.Mahle (5-67), C.Thielbar (2-H), G.Jax (2-BL), J.López (2)"
20,21,Apr 22,True,WSN,"L,4-10",9.0,15,10,10,0,5,12,1,2,3.47,48,183,123,2.0,0.0,0,0,39,3,1,0,1,1,0,1,3,Pat Hoberg,"P.López (5-30-L), S.Woods Richardson (99), B.Headrick (2)"
21,22,Apr 23,True,WSN,"W,3-1",9.0,3,1,1,0,4,6,0,0,3.36,32,125,81,0.0,0.0,0,1,28,1,0,0,0,0,0,1,4,Nestor Ceja,"B.Ober (99-60-W), C.Thielbar (1-H), J.López (1-H), J.Durán (4-Sv)"
22,23,Apr 24,True,NYY,"W,6-1",9.0,6,1,1,0,4,10,0,0,3.25,36,154,96,0.0,0.0,0,0,32,1,0,0,0,0,1,2,3,Rob Drake,"S.Gray (5-77-W), G.Jax (2), J.Morán (3)"
23,24,Apr 25,True,NYY,"W,6-2",9.0,8,2,1,1,0,9,0,0,3.16,35,116,87,0.0,0.0,0,0,35,0,0,0,0,0,0,0,3,Bill Miller,"J.Ryan (5-64-W), J.López (1), J.Durán (1)"
24,25,Apr 26,True,NYY,"L,6-12",9.0,14,12,12,0,4,11,1,0,3.52,44,165,104,1.0,1.0,0,1,39,5,0,0,0,1,0,0,3,Chad Whitson,"K.Maeda (5--3-L), B.Headrick (3), E.Pagán (5)"
25,26,Apr 27,True,KCR,"W,7-1",9.0,3,1,1,0,2,13,1,0,3.42,33,139,90,0.0,0.0,0,0,31,1,0,0,0,0,1,0,4,Nick Mahrley,"T.Mahle (5-60), B.Stewart (99-W), J.Morán (2), J.Durán (1)"
26,27,Apr 28,True,KCR,"W,8-6",9.0,12,6,6,0,2,12,1,1,3.52,42,153,106,2.0,2.0,1,0,38,3,1,0,0,1,0,0,4,Jerry Layne,"P.López (5-38-W), G.Jax (3-H), C.Thielbar (4-H), J.López (2-Sv)"
27,28,Apr 29,True,KCR,"L,2-3",9.0,6,3,3,0,7,7,0,0,3.5,39,166,100,2.0,1.0,4,1,31,2,0,1,1,0,0,0,5,Brock Ballou,"B.Ober (5-61), C.Thielbar (0), G.Jax (0-H), J.López (0-BSv), J.Durán (1-L)"
28,29,Apr 30,True,KCR,"W,8-4",9.0,10,4,3,1,3,10,0,0,3.48,40,161,104,2.0,0.0,1,0,37,4,0,0,0,0,1,1,5,Vic Carapazza,"S.Gray (5-64-W), E.Pagán (3), B.Stewart (2), J.Winder (99), J.Durán (0-Sv)"
29,30,May 2,False,CHW,"L,2-3",9.2,5,3,2,1,5,8,1,0,3.42,38,148,98,0.0,0.0,1,0,32,0,0,1,1,0,0,1,5,Dan Bellino,"J.Ryan (6-75), J.López (2-BSv), G.Jax (2), B.Stewart (1), C.Thielbar (2-L)"
30,31,May 3,False,CHW,"L,4-6",8.0,12,6,6,0,3,8,1,0,3.52,37,129,87,1.0,0.0,0,0,33,0,0,0,1,0,0,0,4,Phil Cuzzi,"L.Varland (18-38), E.Pagán (2), G.Jax (0-L), J.Morán (5)"
31,32,May 4,False,CHW,"W,7-3",12.0,7,3,2,1,8,14,1,0,3.43,50,184,122,0.0,0.0,1,0,41,2,0,5,1,0,0,2,6,Mark Ripperger,"P.López (5-64), J.Durán (3), J.López (1), B.Stewart (1), E.Pagán (0-W), J.Morán (0)"
32,33,May 5,False,CLE,"W,2-0",9.0,3,0,0,0,2,9,0,0,3.33,31,119,85,0.0,0.0,0,0,29,1,0,0,0,0,0,0,3,Dan Iassogna,"B.Ober (5-76-W), J.López (0-H), J.Durán (0-Sv)"
33,34,May 6,False,CLE,"L,3-4",8.0,5,4,4,0,3,11,1,0,3.36,32,131,82,0.0,0.0,0,0,29,0,0,0,0,0,0,0,3,Gabe Morales,"S.Gray (5-50), J.Alcalá (15-L), J.Morán (1)"
34,35,May 7,False,CLE,"L,0-2",8.0,8,2,2,0,0,4,0,0,3.33,32,123,93,0.0,0.0,0,0,32,1,0,0,0,0,0,0,3,Scott Barry,"J.Ryan (4-52-L), E.Pagán (2), B.Stewart (2)"
35,36,May 9,True,SDP,"L,1-6",9.0,10,6,5,1,5,9,1,0,3.38,41,160,106,1.0,0.0,2,0,35,2,0,0,1,0,0,1,4,Tripp Gibson,"L.Varland (5-62), G.Jax (5-L), E.Pagán (1), J.Alcalá (2)"
