,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,MIA,"W,5-3",9.0,5,3,3,0,2,12,1,0,3.0,32,137,91,0.0,0.0,0,0,30,3,0,0,0,0,0,2,4,Larry Vanover,"M.Scherzer (99-56-W), D.Smith (99-H), B.Raley (99-H), D.Robertson (99-Sv)"
1,2,Mar 31,False,MIA,"L,1-2",8.0,10,2,2,0,1,5,2,0,2.65,33,115,70,0.0,0.0,0,0,32,0,1,0,0,0,0,1,3,Chris Guccione,"D.Peterson (99-51-L), T.Hunter (99), J.Curtiss (99)"
2,3,Apr 1,False,MIA,"W,6-2",9.0,10,2,2,0,3,12,1,0,2.42,39,152,91,2.0,0.0,0,0,36,2,0,0,0,0,0,1,6,David Rackley,"T.Megill (99-52-W), D.Santana (99-H), D.Smith (1-H), B.Raley (1-H), A.Ottavino (99-H), D.Robertson (1)"
3,4,Apr 2,False,MIA,"W,5-1",9.0,4,1,1,0,5,12,0,0,2.06,34,148,84,0.0,0.0,0,0,29,1,0,0,0,0,0,2,4,Edwin Moscoso,"K.Senga (99-63-W), D.Santana (0-H), J.Curtiss (1), S.Nogosek (99)"
4,5,Apr 3,False,MIL,"L,0-10",8.0,10,10,10,0,8,6,2,0,3.77,42,180,101,2.0,2.0,2,0,34,0,0,0,0,0,0,0,4,Alan Porter,"C.Carrasco (99-34-L), T.Hunter (2), D.Santana (0), L.Guillorme (99)"
5,6,Apr 4,False,MIL,"L,0-9",8.0,13,9,9,0,2,3,5,0,4.76,37,144,96,1.0,0.0,1,0,35,1,0,0,0,0,0,1,4,Jim Wolf,"M.Scherzer (4-32-L), D.Reyes (99), B.Raley (2), A.Ottavino (2)"
6,7,Apr 5,False,MIL,"L,6-7",8.0,10,7,7,0,5,10,2,0,5.19,37,166,93,1.0,1.0,1,1,32,2,0,0,0,0,0,0,5,Mike Muchlinski,"D.Peterson (4-32), D.Smith (3), J.Curtiss (2), D.Robertson (3), A.Ottavino (0-L)"
7,8,Apr 7,True,MIA,"W,9-3",9.0,6,3,3,0,4,7,1,0,4.9,35,153,90,0.0,0.0,0,0,31,1,0,0,0,0,0,2,5,Chris Segal,"T.Megill (5-67-W), A.Ottavino (1), D.Santana (3), B.Raley (2-H), D.Reyes (2)"
8,9,Apr 8,True,MIA,"W,5-2",9.0,5,2,2,0,5,7,1,0,4.56,37,148,89,5.0,1.0,0,0,32,0,0,0,0,0,0,0,5,Ben May,"K.Senga (5-65-W), D.Smith (2), B.Raley (0-H), J.Curtiss (2-H), D.Robertson (2-Sv)"
9,10,Apr 9,True,MIA,"L,2-7",9.0,11,7,7,0,5,7,2,0,4.81,42,156,93,1.0,0.0,5,0,36,1,0,0,0,1,0,1,3,Jeff Nelson,"C.Carrasco (5-26-L), S.Nogosek (6), D.Santana (1)"
