,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,SFG,"W,5-0",9.0,4,0,0,0,3,16,0,0,0.0,33,150,93,1.0,0.0,1,0,30,0,0,0,0,0,0,1,4,Laz Diaz,"G.Cole (99-75-W), W.Peralta (99-H), J.Loáisiga (99-H), R.Marinaccio (99)"
1,2,Apr 1,True,SFG,"L,5-7",9.0,12,7,7,0,3,13,2,2,3.5,44,185,117,1.0,0.0,2,0,39,3,0,0,0,0,0,0,6,Andy Fletcher,"C.Schmidt (99-42), W.Peralta (1), M.King (99-L), A.Abreu (99), C.Holmes (99), J.Cordero (99)"
2,3,Apr 2,True,SFG,"W,6-0",9.0,3,0,0,0,2,12,0,2,2.33,33,131,88,2.0,0.0,0,0,29,0,0,0,0,0,0,1,4,Erich Bacchus,"J.Brito (99-68-W), J.Cordero (0), R.Marinaccio (2-H), C.Brewer (99)"
3,4,Apr 3,True,PHI,"W,8-1",9.0,11,1,1,0,0,7,0,0,2.0,37,140,100,2.0,0.0,0,0,37,2,0,0,0,0,0,0,4,Paul Emmel,"N.Cortés (99-52-W), I.Hamilton (99), J.Loáisiga (3), C.Holmes (1)"
4,5,Apr 4,True,PHI,"L,1-4",9.0,10,4,4,0,1,12,2,0,2.4,38,159,107,2.0,2.0,1,0,37,1,0,0,0,0,0,0,4,Chad Fairchild,"D.Germán (99-48-L), M.King (2), A.Abreu (2), J.Cordero (1)"
5,6,Apr 5,True,PHI,"W,4-2",9.0,5,2,2,0,3,12,1,1,2.33,34,135,90,1.0,1.0,0,0,29,1,0,0,0,1,0,0,3,Nic Lentz,"G.Cole (5-68-W), J.Loáisiga (1-H), C.Holmes (1-Sv)"
6,7,Apr 7,False,BAL,"L,6-7",8.0,10,7,7,0,6,10,0,0,3.05,41,168,105,3.0,2.0,2,0,34,4,0,0,0,1,0,0,5,Chad Whitson,"C.Schmidt (5-34), I.Hamilton (3), R.Marinaccio (4-BL), J.Cordero (2), W.Peralta (5)"
7,8,Apr 8,False,BAL,"W,4-1",9.0,4,1,1,0,4,8,0,0,2.79,35,156,94,0.0,0.0,1,0,30,0,0,0,0,1,0,0,4,Roberto Ortiz,"J.Brito (5-57-W), M.King (3-H), W.Peralta (0-H), C.Holmes (2-Sv)"
8,9,Apr 9,False,BAL,"W,5-3",9.0,6,3,3,0,3,11,1,0,2.81,35,140,95,3.0,2.0,1,0,32,2,0,0,0,0,0,1,5,Bill Miller,"N.Cortés (5-55-W), A.Abreu (4-H), R.Marinaccio (1-H), J.Cordero (1-H), C.Holmes (0-Sv)"
9,10,Apr 10,False,CLE,"L,2-3",8.0,4,3,2,1,9,4,0,0,2.76,37,152,83,2.0,0.0,4,0,26,3,0,0,0,2,1,1,3,Larry Vanover,"D.Germán (5-44), C.Brewer (7), I.Hamilton (2-L)"
