,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,LAA,"W,2-1",9.0,5,1,1,0,4,8,0,0,1.0,35,155,94,0,0,1,0,31,0,0,1,0,0,0,1,5,Adrian Johnson,"K.Muller (99-57), Z.Jackson (99), D.Acevedo (99), T.May (99-W), D.Jiménez (99-Sv)"
1,2,Apr 1,True,LAA,"L,1-13",9.0,11,13,12,1,6,7,1,0,6.5,44,154,92,2,2,0,0,36,2,0,0,0,2,1,1,4,Manny Gonzalez,"S.Fujinami (99-16-L), A.Oller (99), J.Familia (99), S.Moll (99)"
2,3,Apr 2,True,LAA,"L,0-6",9.0,11,6,6,0,2,6,3,1,6.33,40,149,90,1,0,0,0,37,1,0,0,0,0,0,1,3,Quinn Wolcott,"K.Waldichuk (99-30-L), Z.Jackson (2), A.Martinez (99)"
3,4,Apr 3,True,CLE,"L,11-12",10.0,16,12,9,3,4,8,1,1,6.81,52,198,128,0,0,3,0,43,3,1,1,1,3,0,0,5,Alfonso Márquez,"J.Kaprielian (99-36), J.Familia (1-H), S.Moll (1-H), D.Acevedo (3-BSv), T.May (3-L)"
4,5,Apr 4,True,CLE,"W,4-3",9.0,8,3,3,0,3,10,1,0,6.07,36,167,106,1,0,0,0,33,1,1,0,0,0,0,1,5,Doug Eddings,"J.Sears (99-40), Z.Jackson (1), D.Jiménez (4), S.Moll (0), T.May (0-W)"
5,6,Apr 5,True,CLE,"L,4-6",10.0,9,6,5,1,8,8,0,1,5.79,47,180,110,2,2,2,1,38,1,0,1,0,0,1,0,5,Lance Barrett,"K.Muller (5-55), D.Acevedo (1), A.Martinez (2), J.Familia (1), Z.Jackson (0-L)"
6,7,Apr 7,False,TBR,"L,5-9",8.0,10,9,9,0,6,6,5,0,6.33,40,151,81,0,0,0,0,34,0,0,0,0,0,0,0,2,Ryan Blakney,"K.Waldichuk (4-11-L), A.Oller (5)"
7,8,Apr 8,False,TBR,"L,0-11",8.0,8,11,11,0,6,1,3,3,7.0,40,149,79,2,1,0,0,31,1,0,0,0,0,0,1,5,Marvin Hudson,"S.Fujinami (6-34-L), S.Moll (3), D.Acevedo (2), J.Familia (2), C.Pérez (99)"
8,9,Apr 9,False,TBR,"L,0-11",8.0,12,11,11,0,7,7,3,2,7.54,44,181,107,5,0,1,1,35,4,0,0,0,0,0,1,4,Hunter Wendelstedt,"J.Kaprielian (5-25-L), D.Jiménez (4), T.May (4), A.Martinez (3)"
9,10,Apr 10,False,BAL,"L,1-5",8.0,6,5,5,0,3,8,3,1,7.36,34,167,98,1,0,1,0,30,1,0,0,0,0,0,0,5,Malachi Moore,"J.Sears (5-52-L), J.Familia (1), S.Moll (1), Z.Jackson (4), D.Acevedo (1)"
10,11,Apr 11,False,BAL,"L,8-12",8.0,12,12,12,0,6,9,3,1,7.88,43,176,104,3,2,1,0,34,3,0,1,1,1,0,0,5,Mark Wegner,"K.Muller (5-24), Z.Jackson (0), T.May (1-BSv), S.Moll (0-L), D.Jiménez (1)"
11,12,Apr 12,False,BAL,"W,8-4",9.0,8,4,4,0,3,7,0,0,7.54,37,146,94,1,1,0,0,33,2,0,0,0,1,1,2,3,Bruce Dreckman,"K.Waldichuk (4-52), J.Familia (1-BSv), C.Smith (99-W)"
12,13,Apr 13,False,BAL,"L,7-8",8.0,12,8,8,0,2,7,2,1,7.65,38,169,101,2,1,2,0,33,1,0,0,0,2,0,0,5,Stu Scheurwater,"A.Oller (5-14), A.Martinez (3), D.Jiménez (1), Z.Jackson (1), T.May (1-L)"
13,14,Apr 14,True,NYM,"L,6-17",9.0,11,17,17,0,17,7,1,2,8.34,56,245,125,7,4,1,0,37,4,0,0,0,0,0,1,6,Dan Iassogna,"J.Kaprielian (4-26-L), S.Moll (2), H.Harris (99), C.Smith (1), J.Familia (1), C.Pérez (5)"
14,15,Apr 15,True,NYM,"L,2-3",9.0,5,3,3,0,2,6,2,1,7.97,35,129,77,1,1,2,0,32,2,0,0,0,0,0,0,4,Scott Barry,"S.Fujinami (6-55-L), T.May (1), Z.Jackson (1), D.Jiménez (1)"
15,16,Apr 16,True,NYM,"L,3-4",10.0,6,4,3,1,7,6,3,0,7.6,41,159,89,4,1,3,0,34,0,0,0,0,0,0,2,5,Clint Vondrak,"J.Sears (5-59), R.Lovelady (99), D.Jiménez (0-BSv), S.Moll (1-L), Z.Jackson (0)"
16,17,Apr 17,True,CHC,"L,1-10",9.0,20,10,10,0,2,7,2,0,7.74,47,189,119,3,0,3,1,44,2,0,0,0,1,0,0,4,Vic Carapazza,"K.Muller (5-13-L), J.Familia (2), A.Martinez (3), C.Smith (2)"
17,18,Apr 18,True,CHC,"L,0-4",9.0,8,4,3,1,5,7,0,1,7.47,42,195,112,2,1,0,0,36,2,0,0,0,0,1,0,6,Nick Mahrley,"K.Waldichuk (5-59), S.Moll (1), J.Kaprielian (3), T.May (2-L), R.Lovelady (1), A.Oller (4)"
18,19,Apr 19,True,CHC,"L,2-12",9.0,11,12,12,0,7,8,1,1,7.71,45,206,114,4,3,0,1,36,4,1,0,0,1,0,0,6,Adam Hamari,"M.Miller (99-51), C.Smith (1-L), S.Moll (0), J.Familia (1), A.Oller (0), Z.Jackson (2)"
19,20,Apr 21,False,TEX,"W,5-4",9.0,7,4,4,0,4,12,1,1,7.53,35,150,93,0,0,0,3,30,0,0,0,0,0,0,1,4,Mark Carlson,"J.Sears (4-55), C.Smith (1), Z.Jackson (1-W), J.Familia (1-Sv)"
20,21,Apr 22,False,TEX,"L,3-18",8.0,18,18,18,0,6,6,4,2,8.08,50,197,121,1,1,0,0,42,4,0,0,0,0,0,0,4,Jordan Baker,"S.Fujinami (6-10-L), A.Martinez (4), J.Kaprielian (3), J.Peterson (99)"
21,22,Apr 23,False,TEX,"L,2-5",8.0,9,5,5,0,6,6,1,0,7.97,39,149,87,1,1,3,0,31,1,0,0,1,1,0,0,4,Tripp Gibson,"K.Muller (5-36-L), R.Lovelady (4), C.Smith (1), S.Moll (3)"
22,23,Apr 24,False,LAA,"W,11-10",10.0,13,10,9,1,4,8,3,2,7.98,47,177,108,1,1,0,1,40,4,0,0,0,0,0,1,5,Nate Tomlinson,"K.Waldichuk (5-37), J.Kaprielian (1-BSv), Z.Jackson (2), A.Oller (4-W), J.Familia (2-Sv)"
