,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,TEX,"L,7-11",8.0,10,11,10,1,6,8,2,0,11.25,38,174,105,3.0,3.0,1,0,32,1,0,0,0,0,0,1,6,Jeff Nelson,"A.Nola (99-35), G.Soto (99-L), C.Brogdon (99), A.Vasquez (99), A.Bellatti (99), M.Strahm (99)"
1,2,Apr 1,False,TEX,"L,3-16",8.0,17,16,13,3,6,12,3,1,12.94,50,220,126,7.0,7.0,0,0,40,2,0,0,0,3,1,0,7,CB Bucknor,"Z.Wheeler (99-37-L), Y.Marte (99), J.Alvarado (99), S.Domínguez (99), A.Bellatti (1), C.Kimbrel (99), J.Harrison (99)"
2,3,Apr 2,False,TEX,"L,1-2",8.0,8,2,2,0,0,6,1,0,9.38,30,104,70,1.0,0.0,0,1,30,1,0,0,0,0,0,0,4,Chris Segal,"B.Falter (99-49-L), A.Bellatti (0), C.Brogdon (2), G.Soto (2)"
3,4,Apr 3,False,NYY,"L,1-8",8.0,9,8,8,0,9,7,2,0,9.28,42,167,93,3.0,1.0,1,0,33,1,1,0,0,0,0,0,4,Paul Emmel,"T.Walker (99-41-L), Y.Marte (1), A.Vasquez (3), S.Domínguez (1)"
4,5,Apr 4,False,NYY,"W,4-1",9.0,4,1,1,0,2,9,1,0,7.46,32,140,93,0.0,0.0,0,0,30,0,0,0,0,0,0,0,5,Chad Fairchild,"M.Strahm (4-62), A.Bellatti (1-W), J.Alvarado (2), C.Brogdon (1), C.Kimbrel (2)"
5,6,Apr 5,False,NYY,"L,2-4",8.0,9,4,4,0,3,8,1,0,6.98,34,132,91,1.0,1.0,3,1,31,3,0,0,0,0,0,1,3,Nic Lentz,"A.Nola (5-50-L), G.Soto (2), S.Domínguez (1)"
6,7,Apr 7,True,CIN,"W,5-2",9.0,6,2,2,0,5,10,0,0,6.21,36,151,94,1.0,0.0,0,1,31,3,0,0,0,0,0,1,5,Sean Barber,"Z.Wheeler (5-52), A.Bellatti (2), G.Soto (1-W), J.Alvarado (2-H), C.Kimbrel (2-Sv)"
7,8,Apr 8,True,CIN,"W,3-2",9.0,8,2,2,0,2,5,1,0,5.64,36,146,87,2.0,0.0,0,0,33,0,0,0,0,1,0,0,5,Alan Porter,"B.Falter (5-57), A.Bellatti (0), C.Brogdon (3), S.Domínguez (2), A.Vasquez (4-W)"
8,9,Apr 9,True,CIN,"L,4-6",9.0,6,6,6,0,9,12,0,0,5.68,41,198,119,2.0,0.0,1,1,32,3,0,0,0,0,0,0,6,Jim Wolf,"T.Walker (5-50), C.Brogdon (0), G.Soto (1-H), J.Alvarado (1-H), C.Kimbrel (1-H), S.Domínguez (0-BL)"
9,10,Apr 10,True,MIA,"W,15-3",9.0,9,3,3,0,4,7,1,1,5.4,40,135,92,2.0,2.0,0,0,35,0,0,0,0,0,0,1,3,John Libka,"M.Strahm (5-64-W), M.Moore (99), A.Vasquez (1)"
10,11,Apr 11,True,MIA,"L,4-8",9.0,14,8,8,0,3,10,2,0,5.65,43,171,111,2.0,0.0,2,0,40,3,2,0,0,0,1,1,5,Nate Tomlinson,"A.Nola (5-41-L), G.Soto (1), C.Brogdon (1), A.Bellatti (2), C.Kimbrel (1)"
11,12,Apr 12,True,MIA,"L,2-3",10.0,8,3,2,1,4,12,1,0,5.28,41,152,97,1.0,1.0,1,0,37,3,0,0,0,0,0,0,5,James Hoye,"Z.Wheeler (4-65), J.Alvarado (2-BSv), S.Domínguez (2), G.Soto (0-L), C.Kimbrel (0)"
12,13,Apr 13,False,CIN,"L,2-6",8.0,10,6,6,0,3,6,0,2,5.38,38,144,92,2.0,1.0,1,1,33,2,0,0,0,0,0,0,4,David Rackley,"B.Falter (4-31-L), A.Bellatti (1), M.Moore (2), A.Vasquez (2)"
13,14,Apr 14,False,CIN,"W,8-3",9.0,6,3,2,1,4,8,0,0,5.13,38,159,93,0.0,0.0,2,0,33,1,0,0,0,1,1,0,4,Edwin Moscoso,"T.Walker (4-62-W), S.Domínguez (1), J.Alvarado (1-H), C.Brogdon (2)"
14,15,Apr 15,False,CIN,"L,0-13",8.0,14,13,13,0,7,11,2,0,5.72,45,187,105,2.0,2.0,2,0,37,3,0,0,0,1,0,0,6,Jeremy Riggs,"M.Strahm (4-45-L), A.Bellatti (1), M.Moore (1), A.Vasquez (1), G.Soto (2), J.Harrison (13)"
15,16,Apr 16,False,CIN,"W,14-3",9.0,8,3,2,1,3,8,0,0,5.48,37,146,92,0.0,0.0,0,0,32,2,0,0,0,2,1,1,4,Chris Guccione,"A.Nola (4-53-W), C.Brogdon (1), C.Kimbrel (3), L.Ortiz (99)"
16,17,Apr 18(1),False,CHW,"W,7-4",9.0,8,4,4,0,0,13,0,1,5.39,36,139,99,0.0,0.0,0,0,35,3,0,0,0,0,0,0,5,CB Bucknor,"Z.Wheeler (5-40-W), G.Soto (2-H), C.Kimbrel (1-H), S.Domínguez (3-H), J.Alvarado (3-Sv)"
17,18,Apr 18(2),False,CHW,"L,0-3",8.0,3,3,3,0,3,4,1,0,5.28,29,104,72,0.0,0.0,0,1,26,0,0,0,0,0,0,0,2,Chris Segal,"B.Falter (4-59-L), L.Ortiz (1)"
18,19,Apr 19,False,CHW,"W,5-2",9.0,6,2,2,0,2,6,1,0,5.1,33,127,85,2.0,0.0,1,1,31,1,0,0,0,0,0,1,4,Ben May,"T.Walker (4-56-W), G.Soto (0-H), C.Kimbrel (0-H), J.Alvarado (0-Sv)"
19,20,Apr 20,True,COL,"L,0-5",9.0,7,5,5,0,4,15,1,0,5.1,38,156,104,1.0,1.0,0,0,33,3,0,0,1,0,0,0,4,Brian Knight,"M.Strahm (4-59-L), A.Bellatti (4), C.Brogdon (3), L.Ortiz (1)"
20,21,Apr 21,True,COL,"W,4-3",9.0,4,3,3,0,4,3,1,0,4.99,32,121,77,0.0,0.0,0,1,28,0,0,0,0,0,0,2,3,Alex Tosi,"A.Nola (4-57), S.Domínguez (2-W), J.Alvarado (1-Sv)"
21,22,Apr 22,True,COL,"W,4-3",9.0,9,3,3,0,2,11,0,0,4.9,38,142,96,2.0,1.0,0,0,35,2,0,0,0,1,0,0,5,Tony Randazzo,"C.Sánchez (99-44), C.Brogdon (1-W), G.Soto (2-H), S.Domínguez (0-H), C.Kimbrel (2-Sv)"
22,23,Apr 23,True,COL,"W,9-3",9.0,7,3,3,0,3,15,0,1,4.82,39,163,110,0.0,0.0,0,0,34,0,0,0,0,1,1,0,4,Todd Tichenor,"Z.Wheeler (4-62-W), G.Soto (0-H), J.Alvarado (1), L.Ortiz (2)"
23,24,Apr 25,True,SEA,"L,3-5",9.0,8,5,4,1,1,9,2,0,4.78,36,144,103,0.0,0.0,2,0,34,2,1,0,0,1,0,0,4,Laz Diaz,"B.Falter (6-53-L), C.Brogdon (2), Y.Marte (21), A.Vasquez (9)"
24,25,Apr 26,True,SEA,"W,6-5",9.0,8,5,5,0,2,14,2,0,4.79,37,152,96,0.0,0.0,0,0,35,2,0,0,0,0,0,0,5,Ryan Wills,"T.Walker (6-36), L.Ortiz (2), S.Domínguez (3), C.Kimbrel (3-W), J.Alvarado (2-Sv)"
25,26,Apr 27,True,SEA,"W,1-0",9.0,3,0,0,0,2,9,0,1,4.6,31,117,80,1.0,0.0,0,0,28,1,0,0,0,0,0,2,5,Andy Fletcher,"M.Strahm (6-69-W), S.Domínguez (0-H), C.Brogdon (1-H), G.Soto (3-H), C.Kimbrel (0-Sv)"
26,27,Apr 28,False,HOU,"W,3-1",9.0,3,1,1,0,0,8,1,0,4.46,30,121,81,0.0,0.0,0,0,30,0,0,0,0,0,0,0,2,Lance Barksdale,"A.Nola (6-78-W), J.Alvarado (1-Sv)"
27,28,Apr 29,False,HOU,"W,6-1",9.0,6,1,1,0,1,11,1,2,4.33,36,154,105,0.0,0.0,1,0,33,1,0,0,0,0,0,0,4,Will Little,"Z.Wheeler (5-72-W), S.Domínguez (1), A.Vasquez (3), Y.Marte (3)"
28,29,Apr 30,False,HOU,"L,3-4",8.0,9,4,4,0,3,7,1,0,4.34,34,136,92,2.0,0.0,0,0,31,2,0,0,0,0,0,1,4,Ryan Additon,"B.Falter (4-31-L), C.Brogdon (2), G.Soto (2), L.Ortiz (3)"
