,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,CIN,"W,5-4",9.0,7,4,4,0,6,15,1,0,4.0,39,165,104,1.0,0.0,0,1,33,1,1,0,0,0,1,1,5,Mark Wegner,"M.Keller (99-42), D.Moreta (99), R.Zastryzny (99-W), C.Holderman (99-H), D.Bednar (99-Sv)"
1,2,Apr 1,False,CIN,"L,2-6",8.0,6,6,6,0,3,8,3,0,5.29,33,132,83,0.0,0.0,1,0,30,1,0,0,0,0,0,0,3,Bruce Dreckman,"R.Hill (99-54-L), C.De Jong (99), J.Hernandez (99)"
2,3,Apr 2,False,CIN,"L,1-3",8.0,9,3,3,0,3,6,2,0,4.68,35,135,83,0.0,0.0,0,0,32,2,0,1,0,0,0,0,4,Stu Scheurwater,"V.Velasquez (99-44-L), R.Zastryzny (2), W.Crowe (99), D.Underwood (99)"
3,4,Apr 3,False,BOS,"W,7-6",9.0,10,6,5,1,7,10,3,0,4.76,45,173,104,4.0,1.0,0,0,38,1,0,1,0,0,1,0,6,Adam Beck,"J.Oviedo (99-34), D.Moreta (3), R.Zastryzny (0-H), D.Underwood (0-W), C.Holderman (3-H), D.Bednar (3-Sv)"
4,5,Apr 4,False,BOS,"W,4-1",9.0,4,1,1,0,1,5,0,0,3.98,34,133,89,3.0,0.0,0,0,33,2,0,0,0,0,2,0,5,Dan Iassogna,"R.Contreras (99-60-W), D.Moreta (0-H), J.Hernandez (2-H), C.Holderman (0-H), D.Bednar (0-Sv)"
5,6,Apr 5,False,BOS,"W,4-1",9.0,5,1,1,0,2,8,0,0,3.46,32,120,88,0.0,0.0,1,0,30,1,0,0,0,0,0,1,3,Scott Barry,"M.Keller (5-70-W), R.Zastryzny (1-H), D.Underwood (1-Sv)"
6,7,Apr 7,True,CHW,"W,13-9",9.0,11,9,9,0,2,7,4,0,4.28,40,155,99,0.0,0.0,2,0,38,3,0,0,0,0,0,0,3,Ryan Wills,"R.Hill (5-19), D.Moreta (2-W), W.Crowe (4-Sv)"
7,8,Apr 8,True,CHW,"L,5-11",9.0,14,11,11,0,6,6,0,1,5.14,46,171,111,4.0,2.0,3,0,38,3,0,0,0,1,0,2,5,Mike Estabrook,"V.Velasquez (5-23-L), C.De Jong (6), R.Zastryzny (2), D.Underwood (2), J.Hernandez (3)"
8,9,Apr 9,True,CHW,"W,1-0",9.0,6,0,0,0,0,9,0,0,4.56,33,119,82,1.0,0.0,1,0,32,0,0,0,1,0,0,0,4,Laz Diaz,"J.Oviedo (5-69-W), D.Moreta (1-H), C.Holderman (4-H), D.Bednar (4-Sv)"
9,10,Apr 10,True,HOU,"L,2-8",9.0,13,8,8,0,8,7,0,1,4.91,48,179,102,1.0,0.0,0,0,38,3,0,1,1,0,1,0,4,Nick Mahrley,"R.Contreras (5-13-L), W.Crowe (2), J.Hernandez (1), R.Zastryzny (1)"
10,11,Apr 11,True,HOU,"W,7-4",9.0,9,4,3,1,3,9,2,0,4.73,40,139,93,0.0,0.0,1,0,37,2,0,1,0,0,1,0,4,Adam Hamari,"M.Keller (5-57), D.Underwood (2-H), C.Holderman (1-H), D.Bednar (1-BW)"
11,12,Apr 12,True,HOU,"L,0-7",9.0,12,7,7,0,5,2,2,0,4.92,44,168,103,2.0,0.0,1,0,37,3,0,0,0,2,0,0,4,Jerry Layne,"R.Hill (4-52-L), D.Moreta (2), C.De Jong (3), J.Hernandez (1)"
12,13,Apr 13,False,STL,"W,5-0",9.0,6,0,0,0,3,10,0,0,4.54,37,145,94,0.0,0.0,2,0,34,3,0,0,0,0,1,0,4,Dan Merzel,"V.Velasquez (4-70-W), D.Underwood (1-H), C.Holderman (1), D.Moreta (0)"
13,14,Apr 14,False,STL,"L,0-3",8.0,9,3,3,0,2,12,0,0,4.46,35,118,79,2.0,0.0,0,0,33,1,0,0,0,0,0,0,3,Lance Barksdale,"J.Oviedo (4-70-L), D.Underwood (0), R.Stephenson (99)"
14,15,Apr 15,False,STL,"W,6-3",10.0,7,3,3,0,7,11,0,0,4.33,41,155,93,3.0,1.0,4,1,32,2,0,1,1,1,0,1,6,Will Little,"R.Contreras (4-55), R.Zastryzny (4), R.Stephenson (0), C.Holderman (1), D.Bednar (3-W), D.Moreta (1-Sv)"
15,16,Apr 16,False,STL,"L,4-5",9.2,12,5,4,1,5,6,1,0,4.29,45,153,100,0.0,0.0,0,0,40,4,0,2,0,0,0,1,5,Ryan Additon,"M.Keller (4-47), D.Underwood (1), C.Holderman (0), D.Bednar (0), W.Crowe (5-BL)"
16,17,Apr 17,False,COL,"W,14-3",9.0,10,3,3,0,4,9,1,1,4.21,39,154,101,2.0,1.0,0,0,33,2,0,0,0,1,0,3,3,Gabe Morales,"R.Hill (4-61-W), W.Crowe (0), J.Hernandez (4)"
17,18,Apr 18,False,COL,"W,5-3",9.0,10,3,3,0,3,10,1,0,4.15,40,143,90,0.0,0.0,0,0,36,5,0,0,1,0,1,1,4,Dan Iassogna,"V.Velasquez (4-54-W), D.Underwood (1-H), R.Stephenson (2-H), D.Bednar (1-Sv)"
18,19,Apr 19,False,COL,"W,14-3",9.0,5,3,3,0,7,8,0,1,4.08,41,149,93,0.0,0.0,0,0,32,1,0,0,0,1,1,1,3,Adam Beck,"J.Oviedo (4-65-W), Y.Ramírez (99), D.Moreta (3)"
19,20,Apr 20,True,CIN,"W,4-3",9.0,8,3,3,0,2,11,0,0,4.03,35,135,88,1.0,0.0,3,0,32,2,0,0,0,1,0,1,4,Carlos Torres,"R.Contreras (4-66-W), R.Stephenson (1-H), C.Holderman (3-H), D.Bednar (1-Sv)"
