,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,COL,"L,2-7",9.0,17,7,7,0,1,17,3,0,7.0,45,187,123,2,2,1,0,44,4,0,0,0,0,1,0,4,Chris Conroy,"B.Snell (99-47-L), N.Crismatt (99), D.Tapia (99), S.Wilson (99)"
1,2,Mar 31,True,COL,"L,1-4",9.0,9,4,4,0,3,8,1,1,5.5,39,141,94,0,0,1,0,35,0,0,0,0,0,0,1,3,Brian O'Nora,"N.Martínez (99-52-L), T.Hill (99), L.García (99)"
2,3,Apr 1,True,COL,"W,8-4",9.0,6,4,4,0,3,6,1,1,5.0,35,117,76,0,0,0,0,31,4,0,0,0,0,0,1,4,Pat Hoberg,"M.Wacha (99-43-W), S.Wilson (1-H), T.Hill (0-H), J.Hader (99)"
3,4,Apr 2,True,COL,"W,3-1",9.0,4,1,1,0,1,10,1,0,4.0,32,127,90,0,0,0,0,31,0,0,0,0,0,0,0,3,Nestor Ceja,"S.Lugo (99-72-W), L.García (1-H), J.Hader (0-Sv)"
4,5,Apr 3,True,ARI,"W,5-4",9.0,9,4,4,0,1,8,2,0,4.0,35,138,88,0,0,0,0,34,1,0,0,0,0,0,2,4,Jansen Visconti,"R.Weathers (99-50), B.Honeywell (99-BSv), S.Wilson (1), T.Hill (1-W)"
5,6,Apr 4,True,ARI,"L,6-8",9.0,9,8,8,0,7,5,0,2,4.67,43,178,100,2,2,5,1,31,2,0,0,1,2,0,2,5,Ron Kulpa,"Y.Darvish (99-56), N.Crismatt (4), D.Tapia (4-H), L.García (1-BL), B.Honeywell (0)"
6,7,Apr 6,False,ATL,"L,6-7",8.2,13,7,7,0,7,7,1,0,5.03,45,190,106,3,0,1,0,37,5,0,0,0,1,0,1,5,Jeremie Rehak,"B.Snell (6-31), D.Tapia (1), S.Wilson (2), T.Hill (2-BSv), N.Crismatt (1-L)"
7,8,Apr 7,False,ATL,"W,5-4",9.0,6,4,4,0,8,9,1,0,4.9,41,169,100,5,0,2,0,33,0,0,0,0,0,1,1,4,Paul Emmel,"N.Martínez (6-39), B.Honeywell (2-W), L.García (2-H), J.Hader (4-Sv)"
8,9,Apr 8,False,ATL,"W,4-1",9.0,5,1,1,0,3,15,0,0,4.46,35,162,100,0,0,0,0,32,2,0,0,0,0,0,0,4,Chad Fairchild,"M.Wacha (6-77-W), S.Wilson (1-H), L.García (0-H), J.Hader (0-Sv)"
9,10,Apr 9,False,ATL,"W,10-2",9.0,8,2,2,0,5,9,0,1,4.22,39,166,101,0,0,1,0,33,0,0,0,0,0,0,2,3,Nic Lentz,"S.Lugo (6-59-W), D.Tapia (2), N.Crismatt (2)"
10,11,Apr 10,False,NYM,"L,0-5",8.0,7,5,5,0,1,6,0,1,4.33,33,125,78,2,2,1,0,30,3,0,0,0,1,0,0,3,Lance Barksdale,"Y.Darvish (5-45-L), T.Hill (3), D.Tapia (0)"
11,12,Apr 11,False,NYM,"W,4-2",9.0,5,2,2,0,6,8,0,0,4.13,36,165,97,0,0,1,0,29,0,0,0,0,1,0,1,5,Will Little,"R.Weathers (7-58-W), B.Honeywell (3-H), L.García (2-H), S.Wilson (2-H), J.Hader (2-Sv)"
12,13,Apr 12,False,NYM,"L,2-5",8.0,8,5,4,1,7,7,2,0,4.16,38,143,78,4,1,3,0,30,1,0,0,1,0,0,2,3,Ryan Additon,"B.Snell (5-41-L), B.Honeywell (0), T.Hill (1)"
13,14,Apr 13,True,MIL,"L,3-4",10.0,6,4,3,1,5,5,2,0,4.04,41,160,97,0,0,3,0,35,0,0,0,0,1,0,0,5,Mark Ripperger,"N.Martínez (5-49), S.Wilson (1), T.Hill (0), J.Hader (1), L.García (1-L)"
14,15,Apr 14,True,MIL,"L,2-11",9.0,15,11,11,0,5,4,3,0,4.51,45,186,109,1,1,1,0,40,6,0,0,0,0,0,1,4,Shane Livensparger,"M.Wacha (5-15-L), N.Crismatt (4), D.Tapia (3), B.Dixon (99)"
15,16,Apr 15,True,MIL,"W,10-3",9.0,12,3,3,0,3,10,0,1,4.42,41,178,111,3,0,1,0,37,1,0,0,0,0,0,2,6,Dan Bellino,"S.Lugo (5-37), S.Wilson (1-W), B.Honeywell (2-H), L.García (1-H), T.Hill (1), D.Tapia (0)"
16,17,Apr 16,True,MIL,"L,0-1",9.0,4,1,1,0,3,14,0,0,4.21,34,138,93,0,0,2,0,30,0,0,0,0,1,0,0,3,Phil Cuzzi,"Y.Darvish (5-75-L), S.Wilson (0), J.Hader (2)"
17,18,Apr 17,True,ATL,"L,0-2",9.0,7,2,2,0,4,8,1,1,4.09,37,154,94,0,0,0,1,32,2,0,0,0,0,0,1,3,Bill Miller,"R.Weathers (5-55-L), B.Honeywell (1), R.Knehr (99)"
18,19,Apr 18,True,ATL,"L,1-8",9.0,8,8,8,0,5,7,3,1,4.3,40,167,93,0,0,0,0,34,1,0,0,0,0,0,1,4,Chad Whitson,"B.Snell (5-55-L), S.Wilson (1), N.Crismatt (3), R.Knehr (0)"
19,20,Apr 19,True,ATL,"W,1-0",9.0,4,0,0,0,3,9,0,0,4.08,33,135,84,1,0,2,0,30,0,0,0,0,0,0,0,4,Roberto Ortiz,"N.Martínez (5-75-W), L.García (3-H), T.Hill (3-H), J.Hader (2-Sv)"
20,21,Apr 20,False,ARI,"W,7-5",9.0,12,5,5,0,1,8,0,0,4.12,40,154,106,0,0,0,0,39,3,1,0,0,0,0,0,5,Nate Tomlinson,"M.Wacha (5-24), B.Honeywell (2-W), T.Hill (0-H), S.Wilson (1-H), J.Hader (0-Sv)"
21,22,Apr 21,False,ARI,"L,0-9",8.0,12,9,9,0,3,9,0,0,4.37,39,160,101,2,2,0,0,36,3,0,0,0,0,0,0,4,Alan Porter,"S.Lugo (5-57-L), R.Kerr (99), L.García (1), R.Knehr (2)"
22,23,Apr 22,False,ARI,"W,5-3",9.0,9,3,3,0,0,7,1,1,4.31,36,141,89,0,0,1,0,35,1,0,0,0,0,0,1,5,Jim Wolf,"J.Musgrove (99-47-W), S.Wilson (1-H), R.Weathers (4-H), T.Hill (1-H), J.Hader (1-Sv)"
23,24,Apr 23,False,ARI,"W,7-5",9.0,6,5,5,0,5,8,3,0,4.34,37,148,94,3,0,1,0,31,1,1,0,0,1,0,1,4,Mike Muchlinski,"Y.Darvish (6-61-W), B.Honeywell (2-H), T.Hill (0), J.Hader (0-Sv)"
24,25,Apr 25,False,CHC,"L,0-6",8.0,7,6,6,0,8,5,1,0,4.43,38,166,93,3,3,0,0,30,0,1,0,0,0,0,1,5,Adam Beck,"B.Snell (6-51-L), L.García (3), R.Weathers (2), S.Wilson (2), R.Kerr (3)"
25,26,Apr 26,False,CHC,"W,5-3",9.0,8,3,3,0,2,8,1,0,4.37,37,171,109,0,0,1,0,35,2,0,0,0,0,0,0,3,Clint Vondrak,"M.Wacha (5-51), N.Martínez (6-W), J.Hader (2-Sv)"
26,27,Apr 27,False,CHC,"L,2-5",8.0,9,5,5,0,0,6,3,1,4.41,33,138,90,0,0,0,1,32,1,0,0,0,0,0,0,4,Gabe Morales,"S.Lugo (5-40-L), B.Honeywell (3), T.Hill (3), L.García (1)"
27,28,Apr 29,True,SFG,"W,16-11",9.0,13,11,11,0,5,12,5,1,4.65,45,197,118,3,2,0,0,39,4,0,0,0,0,0,0,6,Alfonso Márquez,"J.Musgrove (6-22), B.Honeywell (1), T.Hill (1-H), S.Wilson (3-BSv), T.Cosgrove (99-W), N.Martínez (2-Sv)"
28,29,Apr 30,True,SFG,"W,6-4",9.0,9,4,4,0,0,11,3,1,4.63,37,137,89,0,0,0,1,36,1,0,0,0,0,1,0,3,Pat Hoberg,"Y.Darvish (6-47), L.García (2-W), J.Hader (3-Sv)"
29,30,May 1,True,CIN,"W,8-3",9.0,8,3,3,0,0,11,1,0,4.57,35,139,92,0,0,0,0,35,1,0,0,0,0,0,0,3,Chad Fairchild,"B.Snell (5-51-W), S.Wilson (1-H), D.Tapia (15-Sv)"
30,31,May 2,True,CIN,"L,1-2",10.0,6,2,1,1,3,6,0,1,4.44,40,153,96,0,0,1,0,36,0,0,0,0,0,1,1,4,Nic Lentz,"M.Wacha (5-69), N.Martínez (2-BSv), J.Hader (1), L.García (1-L)"
31,32,May 3,True,CIN,"W,7-1",9.0,8,1,1,0,2,5,1,0,4.33,35,145,95,0,0,0,0,33,0,0,0,0,0,0,1,4,Jeremie Rehak,"S.Lugo (5-57-W), B.Honeywell (3), T.Hill (3), T.Cosgrove (3)"
32,33,May 5,True,LAD,"W,5-2",9.0,4,2,1,1,2,9,0,0,4.23,32,125,79,1,0,0,0,30,2,1,0,0,0,0,0,3,John Libka,"Y.Darvish (4-65-W), N.Martínez (2-H), J.Hader (2-Sv)"
33,34,May 6,True,LAD,"L,1-2",9.0,3,2,2,0,5,8,1,1,4.16,36,145,80,0,0,1,0,30,0,0,0,0,0,0,0,4,Edwin Jimenez,"B.Snell (4-65-L), T.Hill (2), B.Honeywell (2), S.Wilson (4)"
34,35,May 7,True,LAD,"L,2-5",10.0,6,5,3,2,5,11,2,1,4.12,43,169,99,3,0,0,0,37,2,0,0,0,0,1,0,6,James Hoye,"J.Musgrove (7-63), T.Hill (0-H), S.Wilson (0-H), N.Martínez (1-H), J.Hader (1-BSv), B.Honeywell (0-L)"
35,36,May 9,False,MIN,"W,6-1",9.0,6,1,1,0,5,9,0,0,4.03,38,144,89,2,0,1,0,33,2,0,0,0,0,0,0,5,Tripp Gibson,"M.Wacha (6-63-W), L.García (6-H), S.Wilson (1-H), N.Martínez (1-H), T.Hill (1)"
36,37,May 10,False,MIN,"L,3-4",10.0,9,4,2,2,4,8,1,0,3.96,40,144,90,0,0,0,0,36,3,0,2,0,0,0,2,6,Brennan Miller,"S.Lugo (6-58), B.Honeywell (2), T.Hill (0), L.García (0), J.Hader (2-BSv), D.Tapia (8-L)"
37,38,May 11,False,MIN,"L,3-5",8.0,6,5,5,0,3,9,1,2,4.0,35,121,73,2,2,0,0,30,2,0,0,0,0,0,0,4,Brock Ballou,"Y.Darvish (5-62), B.Honeywell (0-BL), S.Wilson (1), T.Cosgrove (7)"
38,39,May 12,False,LAD,"L,2-4",8.0,6,4,4,0,4,6,2,0,4.01,34,131,77,0,0,0,0,30,2,0,0,0,0,1,1,4,Jeremy Riggs,"B.Snell (5-56), T.Hill (1-L), L.García (1), D.Tapia (1)"
