,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,CLE,"W,3-0",9.0,4,0,0,0,0,9,0,0,0.0,31,121,89,0.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Mark Carlson,"L.Castillo (99-76), M.Brash (99), P.Sewald (99-W), A.Muñoz (99-Sv)"
1,2,Mar 31,True,CLE,"L,4-9",9.0,13,9,4,5,8,4,0,0,2.0,48,199,120,3.0,1.0,3,0,39,2,0,0,0,1,0,0,4,Jordan Baker,"R.Ray (99-34-L), T.Gott (99), P.Murfee (99), C.Flexen (99)"
2,3,Apr 1,True,CLE,"L,0-2",9.0,5,2,2,0,3,9,2,0,2.0,35,131,88,0.0,0.0,1,0,32,0,0,0,0,0,0,0,4,Tripp Gibson,"L.Gilbert (99-66-L), D.Castillo (99), G.Speier (99), M.Festa (99)"
3,4,Apr 2,True,CLE,"L,5-6",10.0,9,6,5,1,5,6,1,0,2.68,42,138,92,3.0,1.0,1,1,37,3,0,1,0,0,0,1,7,Brennan Miller,"M.Gonzales (99-38), T.Gott (1-H), M.Brash (2-BSv), A.Muñoz (2), P.Sewald (2), P.Murfee (1-L), G.Speier (0)"
4,5,Apr 3,True,LAA,"L,3-7",9.0,11,7,7,0,6,11,2,1,3.52,44,174,109,1.0,0.0,0,0,37,2,0,0,0,0,0,1,4,Charlie Ramos,"G.Kirby (99-33-L), P.Murfee (0), D.Castillo (1), M.Festa (1)"
5,6,Apr 4,True,LAA,"W,11-2",9.0,7,2,2,0,3,8,0,0,3.27,37,159,100,1.0,0.0,0,0,33,2,0,0,0,1,0,0,5,Brian O'Nora,"L.Castillo (4-69-W), M.Brash (1), T.Gott (1), P.Sewald (1), G.Speier (1)"
6,7,Apr 5,True,LAA,"L,3-4",9.0,5,4,4,0,6,11,1,0,3.38,38,170,106,2.0,2.0,0,0,32,1,0,0,0,0,0,0,6,Pat Hoberg,"C.Flexen (4-57-L), M.Brash (0), D.Castillo (1), A.Muñoz (2), P.Murfee (1), T.Gott (0)"
7,8,Apr 7,False,CLE,"W,5-3",9.0,7,3,3,0,3,13,0,0,3.33,35,148,94,0.0,0.0,1,0,32,1,0,0,0,0,0,0,6,Nate Tomlinson,"L.Gilbert (5-42), P.Murfee (1-W), T.Gott (1-H), M.Brash (1-H), A.Muñoz (1-H), P.Sewald (2-Sv)"
8,9,Apr 8,False,CLE,"W,3-2",9.0,9,2,2,0,6,8,0,0,3.18,41,161,106,4.0,1.0,2,0,35,5,0,1,0,0,0,1,5,James Hoye,"M.Gonzales (5-55-W), P.Murfee (0-H), M.Festa (4-H), G.Speier (3-H), P.Sewald (0-Sv)"
9,10,Apr 9,False,CLE,"L,6-7",11.1,9,7,4,3,7,11,0,0,3.18,51,199,134,0.0,0.0,2,0,43,2,1,5,0,1,0,0,7,D.J. Reyburn,"G.Kirby (5-62), D.Castillo (3-H), T.Gott (1-H), M.Brash (1-BSv), J.Topa (99), J.Bukauskas (99-BSv), P.Murfee (0-BL)"
10,11,Apr 10,False,CHC,"L,2-3",9.1,8,3,2,1,2,9,0,0,3.07,37,136,90,0.0,0.0,3,0,35,2,0,0,0,0,0,0,5,Junior Valentine,"L.Castillo (5-55), J.Topa (0), G.Speier (1), P.Sewald (1), M.Brash (0-L)"
11,12,Apr 11,False,CHC,"L,9-14",8.0,18,14,14,0,4,4,2,1,3.98,45,181,121,0.0,0.0,1,1,40,3,0,0,0,0,0,1,4,Adrian Johnson,"C.Flexen (5-4-L), T.Gott (1), D.Castillo (1), J.Rodríguez (99)"
12,13,Apr 12,False,CHC,"W,5-2",9.0,5,2,2,0,1,9,1,0,3.84,33,125,81,2.0,0.0,0,0,31,0,0,0,0,1,0,0,4,Manny Gonzalez,"L.Gilbert (4-68-W), M.Brash (1-H), J.Topa (1), P.Sewald (1)"
13,14,Apr 14,True,COL,"W,5-3",9.0,7,3,3,0,4,8,1,0,3.78,37,142,96,5.0,1.0,0,0,33,0,0,0,0,0,0,1,6,Nick Mahrley,"T.Milone (99-55), T.Gott (2), M.Brash (1-W), J.Topa (1-H), G.Speier (3-H), P.Sewald (1-Sv)"
14,15,Apr 15,True,COL,"W,9-2",9.0,6,2,2,0,2,7,0,2,3.66,36,139,93,1.0,0.0,0,0,32,2,0,0,0,0,0,1,3,Adam Hamari,"G.Kirby (5-56-W), P.Murfee (5), D.Castillo (3)"
15,16,Apr 16,True,COL,"W,1-0",9.0,3,0,0,0,0,13,0,0,3.44,30,124,91,0.0,0.0,0,0,30,1,0,0,0,0,0,0,3,Brock Ballou,"L.Castillo (5-82-W), J.Topa (1-H), P.Sewald (1-Sv)"
16,17,Apr 17,True,MIL,"L,3-7",9.0,10,7,6,1,5,7,1,0,3.58,43,151,97,1.0,0.0,1,0,38,1,0,0,0,0,1,0,5,Alan Porter,"C.Flexen (5-48-L), P.Murfee (1), G.Speier (2), D.Castillo (1), D.McCaughan (99)"
17,18,Apr 18,True,MIL,"L,5-6",11.0,6,6,4,2,3,15,2,0,3.56,41,166,108,0.0,0.0,0,0,38,2,0,1,0,0,0,2,6,Jim Wolf,"L.Gilbert (5-54), M.Brash (3), G.Speier (0), P.Sewald (1), T.Gott (3), J.Topa (1-L)"
18,19,Apr 19,True,MIL,"L,3-5",9.0,9,5,5,0,1,12,0,0,3.64,36,131,91,2.0,2.0,1,0,35,1,0,0,0,0,0,1,4,Mike Muchlinski,"M.Gonzales (10-64), M.Brash (0-BL), T.Gott (0), T.Saucedo (99)"
19,20,Apr 21,True,STL,"W,5-2",9.0,3,2,2,0,0,7,0,1,3.56,31,117,80,0.0,0.0,0,0,30,1,0,0,0,0,0,0,4,Clint Vondrak,"G.Kirby (5-63-W), T.Gott (1-H), J.Topa (2-H), P.Sewald (2-Sv)"
20,21,Apr 22,True,STL,"W,5-4",9.0,9,4,4,0,2,15,1,1,3.58,38,151,107,0.0,0.0,1,0,35,2,0,0,0,0,0,1,5,Gabe Morales,"L.Castillo (5-47), P.Murfee (4), M.Brash (2-W), J.Topa (0-H), P.Sewald (0-Sv)"
21,22,Apr 23,True,STL,"L,3-7",9.0,13,7,7,0,5,8,3,0,3.73,42,162,102,0.0,0.0,0,2,37,0,0,0,0,0,0,0,5,Dan Iassogna,"C.Flexen (5-20-L), P.Murfee (0), G.Speier (4), D.Castillo (5), T.Saucedo (3)"
22,23,Apr 25,False,PHI,"W,5-3",9.0,10,3,3,0,1,7,1,1,3.7,37,142,100,0.0,0.0,0,0,35,1,0,0,0,0,0,1,5,Laz Diaz,"M.Gonzales (5-56-W), M.Brash (2-H), G.Speier (1-H), J.Topa (2-H), P.Sewald (2-Sv)"
