,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,NYY,"L,0-5",8.0,8,5,5,0,2,16,2,0,5.62,34,126,89,1.0,1.0,2,0,32,0,0,0,0,0,0,0,3,Laz Diaz,"L.Webb (99-58-L), J.Brebbia (99), T.Rogers (99)"
1,2,Apr 1,False,NYY,"W,7-5",9.0,10,5,4,1,3,9,2,0,4.76,40,156,98,1.0,0.0,1,0,37,2,0,0,0,0,0,1,5,Andy Fletcher,"A.Cobb (99-52), J.Junis (99-W), J.Brebbia (1-H), T.Rogers (99-H), C.Doval (99-Sv)"
2,3,Apr 2,False,NYY,"L,0-6",8.0,7,6,6,0,5,6,3,1,5.4,36,155,90,0.0,0.0,2,1,29,0,0,0,0,1,0,0,3,Erich Bacchus,"R.Stripling (99-40-L), S.Hjelle (99), S.Alexander (99)"
3,4,Apr 3,False,CHW,"W,12-3",9.0,5,3,3,0,2,5,1,0,4.76,33,118,75,0.0,0.0,0,0,31,2,0,0,0,0,0,1,3,James Hoye,"A.DeSclafani (99-70-W), S.Manaea (99), T.Rogers (3)"
4,5,Apr 5,False,CHW,"L,3-7",8.0,13,7,4,3,1,7,0,0,4.71,37,151,101,2.0,0.0,0,0,36,2,0,0,0,0,1,1,4,D.J. Reyburn,"L.Webb (5-37-L), S.Hjelle (2), S.Alexander (2), T.Rogers (1)"
5,6,Apr 6,False,CHW,"W,16-6",9.0,11,6,4,2,5,10,0,0,4.59,44,177,106,2.0,1.0,2,0,39,3,0,0,0,0,0,0,4,John Libka,"A.Wood (99-40), J.Junis (4-W), J.Brebbia (4), M.Beaty (99)"
6,7,Apr 7,True,KCR,"L,1-3",9.0,9,3,3,0,1,7,2,0,4.35,35,123,90,0.0,0.0,1,0,34,0,0,0,0,0,1,2,3,Clint Vondrak,"A.Cobb (5-61-L), T.Rogers (5), C.Doval (5)"
7,8,Apr 8,True,KCR,"L,5-6",9.0,8,6,6,0,1,10,3,1,4.57,36,136,91,0.0,0.0,0,0,34,2,0,0,0,0,0,1,4,Adam Beck,"S.Manaea (4-69), R.Stripling (5), J.Brebbia (1), C.Doval (0-L)"
8,9,Apr 9,True,KCR,"W,3-1",9.0,5,1,1,0,0,10,0,0,4.15,32,125,88,2.0,0.0,0,0,31,2,0,0,0,0,0,1,5,Dan Iassogna,"A.DeSclafani (5-70), S.Alexander (3), T.Rogers (1), J.Brebbia (0-W), T.Rogers (3-Sv)"
9,10,Apr 10,True,LAD,"L,1-9",9.0,9,9,6,3,2,11,3,0,4.34,38,146,91,1.0,1.0,1,0,36,0,1,0,0,0,1,1,3,Todd Tichenor,"L.Webb (4-57-L), T.Rogers (0), S.Hjelle (4)"
10,11,Apr 11,True,LAD,"W,5-0",9.0,3,0,0,0,5,11,0,2,3.94,38,154,92,5.0,0.0,0,0,30,0,0,0,0,0,0,0,6,Brian Knight,"A.Wood (4-64), J.Junis (4), S.Alexander (1-W), J.Brebbia (1-H), T.Rogers (1-H), C.Doval (2)"
