,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,TOR,"L,9-10",9.0,19,10,10,0,3,11,0,1,10.0,49,204,140,5,1,0,1,43,3,0,0,0,2,0,0,6,Dan Iassogna,"M.Mikolas (99-26), Z.Thompson (99), D.VerHagen (99), A.Pallante (99), J.Hicks (99-BSv), R.Helsley (99-BL)"
1,2,Apr 1,True,TOR,"W,4-1",9.0,3,1,1,0,10,8,0,1,5.5,40,166,93,2,0,0,0,29,0,0,0,0,0,0,1,5,Scott Barry,"J.Flaherty (99-64-W), D.VerHagen (1-H), A.Pallante (1-H), J.Hicks (1-H), R.Helsley (1-Sv)"
2,3,Apr 2,True,TOR,"W,9-4",9.0,10,4,4,0,1,6,0,0,5.0,37,143,91,1,0,1,0,35,3,0,0,0,1,0,1,3,Gabe Morales,"J.Montgomery (99-45-W), C.Stratton (99), P.Naughton (99)"
3,4,Apr 3,True,ATL,"L,4-8",9.0,10,8,8,0,5,9,3,0,5.75,40,167,101,0,0,0,1,35,3,0,0,0,0,0,1,4,Tony Randazzo,"J.Woodford (99-25-L), Z.Thompson (3), J.Hicks (1), P.Naughton (0)"
4,5,Apr 4,True,ATL,"L,1-4",9.0,12,4,4,0,1,12,2,0,5.4,38,138,95,1,0,1,0,37,1,0,0,0,0,0,1,4,Junior Valentine,"S.Matz (99-38-L), D.VerHagen (2), A.Pallante (2), G.Gallegos (99)"
5,6,Apr 5,True,ATL,"L,2-5",9.0,10,5,5,0,1,8,1,0,5.33,38,146,104,0,0,1,0,36,3,0,0,0,1,0,0,3,Todd Tichenor,"M.Mikolas (5-39-L), P.Naughton (1), C.Stratton (2)"
6,7,Apr 7,False,MIL,"L,0-4",8.0,9,4,4,0,8,6,1,0,5.23,38,161,86,1,0,0,1,29,1,0,0,0,1,0,2,5,Adam Hamari,"J.Flaherty (5-48-L), A.Pallante (2), J.Hicks (3), P.Naughton (1), C.Stratton (1)"
7,8,Apr 8,False,MIL,"W,6-0",9.0,5,0,0,0,3,11,0,0,4.56,35,133,82,0,0,0,0,32,1,0,0,0,0,0,0,3,Jerry Layne,"J.Montgomery (5-78-W), Z.Thompson (4), D.VerHagen (3)"
8,9,Apr 9,False,MIL,"L,1-6",8.0,11,6,6,0,2,10,2,1,4.78,37,144,94,2,0,0,0,34,3,0,0,0,0,0,1,5,Vic Carapazza,"J.Woodford (5-44-L), G.Cabrera (99), A.Pallante (1), J.Hicks (1), R.Helsley (7)"
9,10,Apr 10,False,COL,"L,4-7",8.0,13,7,6,1,2,7,0,0,4.97,38,133,86,3,2,0,1,35,3,0,0,0,1,2,2,4,Shane Livensparger,"S.Matz (5-29-L), Z.Thompson (1), D.VerHagen (1), C.Stratton (2)"
10,11,Apr 11,False,COL,"W,9-6",9.0,12,6,6,0,2,10,3,0,5.06,41,142,93,0,0,0,0,37,1,0,0,0,1,1,2,4,Dan Bellino,"M.Mikolas (5-24), G.Cabrera (1), G.Gallegos (6-W), R.Helsley (1-Sv)"
11,12,Apr 12,False,COL,"W,7-4",9.0,7,4,3,1,3,11,1,0,4.89,35,146,93,4,1,0,0,32,2,0,0,0,0,0,2,6,Phil Cuzzi,"J.Flaherty (4-57), Z.Thompson (1-H), D.VerHagen (1-H), A.Pallante (2-BW), G.Gallegos (0-H), R.Helsley (0-Sv)"
12,13,Apr 13,True,PIT,"L,0-5",9.0,9,5,5,0,5,9,2,0,4.89,40,147,91,5,1,0,0,34,4,0,0,0,1,0,1,4,Dan Merzel,"J.Montgomery (4-56-L), J.Hicks (3), G.Cabrera (1), C.Stratton (2)"
13,14,Apr 14,True,PIT,"W,3-0",9.0,8,0,0,0,2,8,0,1,4.54,35,133,84,0,0,2,0,32,1,0,0,0,0,0,2,4,Lance Barksdale,"J.Woodford (4-56), Z.Thompson (1-W), D.VerHagen (1-H), G.Gallegos (1-Sv)"
14,15,Apr 15,True,PIT,"L,3-6",10.0,10,6,5,1,6,10,2,0,4.53,43,178,107,3,1,2,1,37,2,1,0,0,0,0,2,5,Will Little,"S.Matz (4-56), C.Stratton (1), R.Helsley (2-BSv), J.Hicks (1-L), G.Cabrera (1)"
15,16,Apr 16,True,PIT,"W,5-4",10.0,8,4,2,2,4,6,0,0,4.34,42,142,90,5,1,0,0,37,1,1,0,0,1,1,1,5,Ryan Additon,"M.Mikolas (4-47), A.Pallante (3), Z.Thompson (1), G.Gallegos (1), D.VerHagen (1-W)"
16,17,Apr 17,True,ARI,"L,3-6",9.0,5,6,6,0,4,9,2,0,4.44,33,137,82,2,2,0,1,29,2,0,0,0,0,0,2,3,Manny Gonzalez,"J.Flaherty (4-49-L), A.Pallante (0), G.Cabrera (1)"
17,18,Apr 18,True,ARI,"L,7-8",9.0,14,8,8,0,1,7,1,0,4.64,41,164,107,2,1,0,0,40,3,1,0,0,0,0,1,4,Quinn Wolcott,"J.Montgomery (4-16-L), C.Stratton (2), J.Romero (99), J.Hicks (2)"
18,19,Apr 19,True,ARI,"W,14-5",9.0,11,5,5,0,3,10,2,0,4.66,41,159,104,0,0,1,0,37,3,0,0,0,1,0,0,5,Junior Valentine,"J.Woodford (4-37-W), Z.Thompson (2), D.VerHagen (2), G.Cabrera (1), J.Hicks (0)"
19,20,Apr 21,False,SEA,"L,2-5",8.0,6,5,5,0,4,10,1,0,4.7,33,140,88,3,2,1,0,28,2,0,0,0,1,0,2,4,Clint Vondrak,"S.Matz (5-49-L), D.VerHagen (1), J.Romero (2), C.Stratton (2)"
20,21,Apr 22,False,SEA,"L,4-5",8.0,7,5,5,0,3,7,2,0,4.74,34,134,88,2,2,0,0,31,2,0,0,0,0,0,0,4,Gabe Morales,"M.Mikolas (5-48), Z.Thompson (2-L), G.Gallegos (5), G.Cabrera (2)"
21,22,Apr 23,False,SEA,"W,7-3",9.0,6,3,3,0,4,14,1,1,4.66,36,151,98,2,0,0,0,31,1,0,0,0,0,0,2,4,Dan Iassogna,"J.Flaherty (5-57-W), G.Cabrera (0), R.Helsley (7-H), G.Gallegos (0)"
22,23,Apr 24,False,SFG,"L,0-4",8.0,8,4,0,4,2,10,1,1,4.48,36,142,87,1,1,0,0,32,1,0,1,0,1,1,0,3,Nic Lentz,"J.Montgomery (5-65-L), D.VerHagen (2), J.Hicks (4)"
23,24,Apr 25,False,SFG,"L,4-5",8.2,9,5,5,0,2,9,2,0,4.51,35,151,96,0,0,1,0,33,1,0,0,0,0,0,1,4,Jeremie Rehak,"J.Woodford (5-53), G.Cabrera (1), G.Gallegos (1-H), R.Helsley (1-BL)"
24,25,Apr 26,False,SFG,"L,3-7",8.0,13,7,6,1,5,11,2,0,4.59,43,186,108,2,0,3,0,38,2,1,0,0,0,1,0,4,Paul Emmel,"S.Matz (4-42), J.Hicks (1-L), Z.Thompson (3), C.Stratton (4)"
25,26,Apr 27,False,SFG,"W,6-0",9.0,6,0,0,0,3,10,0,1,4.41,37,143,96,0,0,2,0,33,2,0,0,0,0,0,0,3,Chad Fairchild,"M.Mikolas (4-69-W), G.Cabrera (1-H), D.VerHagen (2)"
26,27,Apr 28,False,LAD,"L,3-7",8.0,9,7,6,1,4,10,2,1,4.49,39,179,109,4,1,0,0,33,3,0,0,0,0,0,0,3,Nate Tomlinson,"J.Flaherty (4-37-L), J.Romero (6), C.Stratton (1)"
27,28,Apr 29,False,LAD,"L,0-1",8.0,5,1,1,0,4,10,0,0,4.38,33,114,70,3,0,3,0,29,1,0,0,0,0,0,0,3,Sean Barber,"J.Montgomery (4-65-L), J.Hicks (2), G.Cabrera (1)"
28,29,Apr 30,False,LAD,"L,3-6",8.0,7,6,6,0,8,5,0,1,4.45,40,170,94,8,3,3,0,30,4,0,1,0,1,0,0,6,Jim Wolf,"J.Woodford (4-40), Z.Thompson (3-L), D.VerHagen (2), J.Romero (1), G.Gallegos (4), R.Helsley (4)"
29,30,May 2,True,LAA,"L,1-5",9.0,8,5,5,0,3,8,1,0,4.47,38,154,102,0,0,0,0,35,0,0,0,0,0,0,0,4,Alex MacKay,"S.Matz (5-41-L), D.VerHagen (1), C.Stratton (3), G.Zuñiga (99)"
30,31,May 3,True,LAA,"L,4-6",9.0,13,6,6,0,2,8,3,1,4.52,41,153,100,3,0,0,0,38,1,0,0,0,0,0,2,4,Marvin Hudson,"M.Mikolas (5-46), J.Hicks (3-H), R.Helsley (2-H), G.Gallegos (2-BL)"
31,32,May 4,True,LAA,"L,7-11",9.0,16,11,10,1,3,8,1,1,4.7,45,180,108,3,3,0,0,39,2,0,0,0,2,1,3,5,Hunter Wendelstedt,"J.Flaherty (5-1-L), J.Woodford (3), C.Stratton (1), J.Romero (3), D.VerHagen (1)"
32,33,May 5,True,DET,"L,4-5",9.0,9,5,5,0,4,9,1,1,4.71,41,159,102,3,1,1,0,36,4,0,0,0,0,0,0,5,Junior Valentine,"J.Montgomery (5-57), J.Hicks (1-BL), G.Gallegos (1), G.Cabrera (5), R.Helsley (1)"
33,34,May 6,True,DET,"L,5-6",10.0,13,6,5,1,2,10,0,0,4.7,45,164,111,3,1,1,0,42,4,0,0,0,1,1,0,5,Adrian Johnson,"A.Wainwright (99-40), D.VerHagen (1-H), G.Cabrera (0-H), C.Stratton (1-BSv), G.Gallegos (0-L)"
34,35,May 7,True,DET,"W,12-6",9.0,8,6,1,5,1,6,2,0,4.59,37,144,96,2,2,0,0,36,1,0,0,0,0,1,0,5,Quinn Wolcott,"S.Matz (4-56), J.Naile (99-H), J.Romero (2-BSv), D.VerHagen (0-W), R.Helsley (1)"
35,36,May 8,False,CHC,"W,3-1",9.0,5,1,1,0,6,10,0,0,4.49,37,176,111,4,0,0,0,31,1,0,0,0,0,0,0,4,CB Bucknor,"M.Mikolas (4-55), G.Cabrera (1-W), J.Hicks (2-H), R.Helsley (0-Sv)"
36,37,May 9,False,CHC,"W,6-4",9.0,9,4,4,0,7,6,2,1,4.48,40,178,98,2,0,1,1,32,3,0,0,0,0,0,3,4,Ryan Wills,"J.Flaherty (4-39), A.Pallante (21-BSv), C.Stratton (2-W), G.Gallegos (2-Sv)"
37,38,May 10,False,CHC,"L,4-10",8.0,14,10,10,0,6,3,2,0,4.64,42,155,98,0,0,0,0,36,5,0,0,0,0,0,2,3,Ben May,"J.Montgomery (4-29-L), D.VerHagen (2), J.Naile (2)"
38,39,May 12,False,BOS,"W,8-6",9.0,9,6,6,0,4,8,2,0,4.68,37,146,89,2,1,0,0,33,4,0,0,0,0,0,3,4,Nick Mahrley,"A.Wainwright (5-37), A.Pallante (2-H), G.Cabrera (3-BSv), R.Helsley (3-W)"
39,40,May 13,False,BOS,"W,4-3",9.0,10,3,3,0,1,6,0,1,4.63,36,142,92,2,0,1,0,34,3,0,0,0,0,0,2,4,Derek Thomas,"S.Matz (5-43), D.VerHagen (2), A.Pallante (0-W), G.Gallegos (3-Sv)"
40,41,May 14,False,BOS,"W,9-1",9.0,5,1,1,0,5,7,0,0,4.54,36,157,97,0,0,0,0,31,1,0,0,0,0,0,0,4,Vic Carapazza,"M.Mikolas (5-58-W), G.Cabrera (1), J.Hicks (5), C.Stratton (4)"
41,42,May 15,True,MIL,"W,18-1",9.0,6,1,1,0,3,11,0,0,4.46,35,140,92,0,0,0,0,32,0,0,0,0,0,0,1,2,Malachi Moore,"J.Flaherty (5-79-W), J.Naile (4)"
42,43,May 16,True,MIL,"L,2-3",9.0,9,3,3,0,1,11,2,1,4.42,37,145,89,1,0,2,1,35,2,0,0,0,0,0,0,4,Mark Wegner,"J.Montgomery (5-46-L), J.Hicks (1), A.Pallante (2), D.VerHagen (2)"
43,44,May 17,True,MIL,"W,3-0",9.0,7,0,0,0,6,11,0,0,4.32,39,175,106,2,0,0,0,33,2,0,0,0,0,0,1,4,Bruce Dreckman,"M.Liberatore (99-64-W), A.Pallante (0-H), G.Gallegos (3-H), R.Helsley (4-Sv)"
44,45,May 18,True,LAD,"W,16-8",9.0,9,8,3,5,4,3,2,0,4.29,42,153,92,2,2,0,0,38,2,1,0,0,0,2,0,5,Jeremie Rehak,"A.Wainwright (5-43-W), G.Cabrera (3), D.VerHagen (1-H), J.Hicks (1-H), C.Stratton (3)"
45,46,May 19,True,LAD,"L,0-5",9.0,10,5,4,1,5,11,1,1,4.28,44,186,114,2,0,0,0,38,5,0,0,0,0,1,0,4,Chad Fairchild,"S.Matz (5-54-L), A.Pallante (1), J.Hicks (0), C.Stratton (0)"
46,47,May 20,True,LAD,"W,6-5",9.0,9,5,5,0,0,5,1,1,4.3,37,144,93,2,1,0,0,35,4,0,0,0,1,0,0,3,Paul Emmel,"M.Mikolas (5-55), R.Helsley (2-W), G.Gallegos (2-Sv)"
47,48,May 21,True,LAD,"W,10-5",9.0,6,5,5,0,5,11,0,1,4.31,38,173,110,3,1,0,0,29,1,0,0,0,3,0,1,4,Nic Lentz,"J.Flaherty (5-45), D.VerHagen (2-W), M.Liberatore (3), G.Cabrera (2)"
48,49,May 22,False,CIN,"L,5-6",9.1,8,6,5,1,6,13,1,0,4.32,41,172,105,0,0,2,0,34,2,0,0,0,1,0,1,5,Lance Barksdale,"J.Montgomery (5-33), A.Pallante (2), J.Hicks (2), G.Gallegos (1), R.Helsley (1-L)"
