,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,DET,"W,4-0",9.0,6,0,0,0,3,6,0,0,0.0,35,131,85,0,0,0,0,32,2,0,0,0,0,0,1,4,Jerry Layne,"S.McClanahan (99-69-W), C.Poche (99-H), J.Adam (99-H), P.Fairbanks (99)"
1,2,Apr 1,True,DET,"W,12-2",9.0,6,2,2,0,2,10,0,0,1.0,36,138,95,0,0,0,0,34,2,0,0,0,0,1,1,4,Vic Carapazza,"Z.Eflin (99-61-W), K.Kelly (99), G.Cleavinger (99), C.Faucher (99)"
2,3,Apr 2,True,DET,"W,5-1",9.0,2,1,1,0,1,14,1,0,1.0,30,117,80,0,0,0,0,29,0,0,0,0,0,0,0,4,Nick Mahrley,"J.Springs (99-83-W), C.Poche (2), R.Thompson (99), J.Beeks (99)"
3,4,Apr 3,False,WSN,"W,6-2",9.0,4,2,1,1,1,8,1,1,1.0,34,128,90,2,0,0,0,32,0,0,0,0,0,1,0,4,Larry Vanover,"D.Rasmussen (99-75-W), G.Cleavinger (1), J.Adam (3-H), C.Faucher (1)"
4,5,Apr 4,False,WSN,"W,10-6",9.0,16,6,6,0,2,6,0,1,2.0,43,142,100,2,0,0,0,40,3,0,0,0,0,0,3,5,Chris Guccione,"J.Fleming (99-20), J.Beeks (1), K.Kelly (2), R.Thompson (1-W), P.Fairbanks (4)"
5,6,Apr 5,False,WSN,"W,7-2",9.0,6,2,2,0,6,7,0,0,2.0,37,138,90,0,0,1,1,31,2,0,0,0,0,0,1,4,Dan Merzel,"S.McClanahan (5-56-W), C.Poche (2), G.Cleavinger (1), R.Thompson (0)"
6,7,Apr 7,True,OAK,"W,9-5",9.0,12,5,5,0,1,9,2,1,2.43,38,129,89,0,0,1,0,36,2,0,0,0,0,0,2,3,Ryan Blakney,"Z.Eflin (5-49-W), C.Faucher (3), J.Adam (3)"
7,8,Apr 8,True,OAK,"W,11-0",9.0,3,0,0,0,3,10,0,0,2.12,32,115,77,0,0,0,0,28,0,0,0,0,0,0,1,2,Marvin Hudson,"J.Springs (5-75-W), K.Kelly (3)"
8,9,Apr 9,True,OAK,"W,11-0",9.0,1,0,0,0,1,9,0,0,1.89,29,112,78,0,0,1,0,28,1,0,0,0,0,0,0,3,Hunter Wendelstedt,"D.Rasmussen (5-83-W), R.Thompson (3), J.Adam (1)"
9,10,Apr 10,True,BOS,"W,1-0",9.0,3,0,0,0,2,10,0,0,1.7,32,118,77,0,0,0,0,30,0,0,0,0,0,0,0,5,Jeremie Rehak,"J.Beeks (5-56), J.Fleming (5), G.Cleavinger (4), C.Poche (4-W), P.Fairbanks (5-Sv)"
10,11,Apr 11,True,BOS,"W,7-2",9.0,6,2,2,0,5,10,0,0,1.73,37,162,108,2,1,1,0,32,1,0,0,0,0,0,1,5,Paul Emmel,"S.McClanahan (5-64-W), G.Cleavinger (0), J.Adam (1), R.Thompson (1), C.Faucher (3)"
11,12,Apr 12,True,BOS,"W,9-7",9.0,10,7,7,0,1,11,1,0,2.17,37,136,90,2,2,0,0,36,4,0,0,0,0,0,1,6,Chad Fairchild,"T.Bradley (99-52-W), J.Beeks (1), R.Thompson (0), C.Poche (1-H), J.Adam (0-H), P.Fairbanks (1-Sv)"
12,13,Apr 13,True,BOS,"W,9-3",9.0,4,3,3,0,3,12,1,1,2.23,35,148,98,3,1,1,0,31,2,0,0,0,0,0,0,4,Nic Lentz,"J.Springs (4-58), G.Cleavinger (1), K.Kelly (4-W), B.Bristo (99-Sv)"
13,14,Apr 14,False,TOR,"L,3-6",8.0,10,6,5,1,7,6,1,0,2.45,40,147,90,5,3,1,1,33,2,0,0,0,0,0,1,3,Lance Barrett,"D.Rasmussen (4-27-L), C.Poche (1), Y.Chirinos (99)"
14,15,Apr 15,False,TOR,"L,2-5",8.0,7,5,5,0,6,3,0,1,2.64,37,140,86,2,0,2,0,30,1,0,1,0,0,0,1,3,Ramon De Jesus,"C.Faucher (3-51), T.Kelley (99-L), J.Fleming (4)"
15,16,Apr 16,False,TOR,"W,8-1",9.0,6,1,1,0,4,7,0,0,2.54,36,145,97,0,0,0,0,32,2,0,0,0,0,0,0,4,Alfonso Márquez,"S.McClanahan (4-64-W), C.Poche (1), G.Cleavinger (2), J.Adam (3)"
16,17,Apr 17,False,CIN,"L,1-8",8.0,7,8,8,0,4,9,1,2,2.88,38,155,95,0,0,0,0,31,3,0,0,1,0,1,0,3,Andy Fletcher,"J.Beeks (4-52-L), K.Kelly (3), C.Criswell (99)"
17,18,Apr 18,False,CIN,"W,10-0",9.0,4,0,0,0,2,12,0,1,2.72,34,141,88,0,0,0,0,31,0,0,0,0,0,0,0,3,Mike Estabrook,"T.Bradley (5-70-W), Y.Chirinos (3), G.Cleavinger (1)"
18,19,Apr 19,False,CIN,"W,8-0",9.0,5,0,0,0,5,12,0,0,2.57,36,131,84,0,0,0,0,30,0,0,0,1,0,0,1,3,Erich Bacchus,"D.Rasmussen (4-65-W), J.Fleming (3), P.Fairbanks (6)"
19,20,Apr 21,True,CHW,"W,8-7",9.0,10,7,7,0,8,11,1,2,2.8,47,189,110,5,1,0,0,37,3,0,1,0,0,0,0,6,Mark Wegner,"C.Faucher (5-37), J.Beeks (3), C.Criswell (3), G.Cleavinger (2), C.Poche (4), K.Kelly (3-W)"
