,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,PHI,"W,11-7",9.0,12,7,7,0,2,13,1,0,7.0,41,161,106,1.0,1.0,1,0,39,4,3,1,0,0,0,0,5,Jeff Nelson,"J.deGrom (99-36), C.Ragans (99-W), B.Burke (99), J.Hernández (99), J.Leclerc (99)"
1,2,Apr 1,True,PHI,"W,16-3",9.0,9,3,3,0,3,7,0,0,5.0,37,134,81,0.0,0.0,1,0,34,4,1,0,0,0,0,1,3,CB Bucknor,"N.Eovaldi (99-47-W), D.Dunning (99), T.Hearn (99)"
2,3,Apr 2,True,PHI,"W,2-1",9.0,9,1,1,0,3,8,0,0,3.67,36,132,85,3.0,0.0,0,0,33,2,0,0,0,0,0,3,4,Chris Segal,"M.Pérez (99-53-W), B.Burke (2-H), J.Hernández (2-H), W.Smith (99-Sv)"
3,4,Apr 3,True,BAL,"L,0-2",9.0,4,2,2,0,4,12,2,0,3.25,33,141,91,1.0,0.0,1,0,29,0,0,0,0,0,0,2,3,Marvin Hudson,"J.Gray (99-62-L), C.Ragans (3), I.Kennedy (99)"
4,5,Apr 4,True,BAL,"L,2-7",9.0,8,7,7,0,3,6,2,1,4.0,39,163,104,2.0,0.0,0,0,35,3,0,0,0,0,0,0,3,Hunter Wendelstedt,"A.Heaney (99-16-L), D.Dunning (2), T.Hearn (2)"
5,6,Apr 5,True,BAL,"W,5-2",9.0,2,2,1,1,3,15,0,0,3.5,32,133,82,0.0,0.0,0,1,29,1,0,0,0,0,0,0,4,John Tumpane,"J.deGrom (5-71-W), W.Smith (2-H), J.Hernández (2-H), J.Leclerc (5-Sv)"
6,7,Apr 7,False,CHC,"L,0-2",8.0,6,2,2,0,2,9,0,0,3.34,30,131,81,1.0,0.0,1,0,28,1,0,0,0,0,0,2,3,Nestor Ceja,"N.Eovaldi (5-56-L), C.Ragans (3), I.Kennedy (3)"
7,8,Apr 8,False,CHC,"L,3-10",8.0,14,10,7,3,2,9,2,0,3.86,40,171,115,4.0,4.0,2,1,38,1,0,0,0,0,1,0,5,Charlie Ramos,"M.Pérez (5-52-L), I.Kennedy (0), B.Burke (5), T.Hearn (3), D.Dunning (3)"
8,9,Apr 9,False,CHC,"W,8-2",9.0,7,2,2,0,4,9,1,0,3.65,35,147,94,3.0,0.0,0,0,31,0,0,0,0,0,0,2,4,Brian O'Nora,"J.Gray (5-50-W), W.Smith (3), C.Ragans (1), J.Leclerc (3)"
9,10,Apr 10,True,KCR,"W,11-2",9.0,4,2,1,1,2,13,1,0,3.38,34,145,91,0.0,0.0,1,0,32,0,0,0,0,0,1,0,3,Cory Blaser,"A.Heaney (5-69-W), B.Burke (1-H), D.Dunning (1)"
10,11,Apr 11,True,KCR,"W,8-5",10.0,11,5,4,1,4,11,0,0,3.4,43,147,96,5.0,2.0,1,0,38,3,0,2,0,1,0,1,5,Carlos Torres,"J.deGrom (5-64), J.Hernández (5), W.Smith (1-H), J.Leclerc (1-BSv), C.Ragans (1-W)"
11,12,Apr 12,True,KCR,"L,1-10",9.0,14,10,10,0,2,11,1,0,3.95,43,151,111,0.0,0.0,3,0,41,2,1,0,0,0,0,0,4,Jansen Visconti,"N.Eovaldi (4-30-L), T.Hearn (3), I.Kennedy (3), J.Hernández (0)"
12,13,Apr 14,False,HOU,"W,6-2",9.0,6,2,2,0,4,8,2,0,3.8,36,140,89,2.0,0.0,0,0,32,1,0,0,0,0,0,0,4,Laz Diaz,"M.Pérez (5-49-W), D.Dunning (3-H), W.Smith (2-H), J.Leclerc (2)"
