,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,STL,"W,10-9",9.0,15,9,9,0,6,8,2,0,9.0,47,180,110,5.0,1.0,1,0,41,2,0,1,0,0,0,1,8,Dan Iassogna,"A.Manoah (99-23), Z.Pop (99), E.Swanson (99), T.Mayza (99), A.Bass (99), A.Cimber (99), Y.García (99-BW), J.Romano (99-Sv)"
1,2,Apr 1,False,STL,"L,1-4",8.0,10,4,1,3,2,8,0,0,5.29,35,122,87,0.0,0.0,1,0,33,0,0,0,0,0,1,1,3,Scott Barry,"K.Gausman (99-56-L), A.Cimber (1), E.Swanson (1)"
2,3,Apr 2,False,STL,"L,4-9",8.0,16,9,9,0,2,3,4,1,6.84,40,124,77,1.0,1.0,1,0,36,4,0,0,0,1,0,3,5,Gabe Morales,"C.Bassitt (99-4-L), Z.Pop (2), T.Richards (99), A.Bass (2), T.Mayza (2)"
3,4,Apr 3,False,KCR,"L,5-9",8.0,10,9,9,0,3,11,1,1,7.64,37,129,78,1.0,1.0,2,0,33,2,1,0,0,0,0,0,3,Adam Hamari,"J.Berríos (99-24-L), Z.Pop (0), A.Cimber (1)"
4,5,Apr 4,False,KCR,"W,4-1",9.0,4,1,1,0,1,7,1,0,6.21,31,127,83,1.0,0.0,0,0,30,0,0,0,0,0,0,0,5,Jerry Layne,"Y.Kikuchi (99-58-W), Y.García (4-H), T.Mayza (1-H), E.Swanson (2-H), J.Romano (4-Sv)"
5,6,Apr 5,False,KCR,"W,3-0",9.0,2,0,0,0,4,7,0,1,5.12,33,120,78,0.0,0.0,0,0,28,0,0,0,0,0,0,0,3,Vic Carapazza,"A.Manoah (5-76-W), E.Swanson (0-H), J.Romano (0-Sv)"
6,7,Apr 6,False,KCR,"W,6-3",9.0,8,3,3,0,3,12,1,0,4.8,38,141,95,6.0,2.0,0,0,35,1,0,0,0,0,0,0,6,Manny Gonzalez,"K.Gausman (4-69-W), A.Bass (3), T.Richards (3), T.Mayza (1), Y.García (1-H), A.Cimber (2-Sv)"
7,8,Apr 7,False,LAA,"W,4-3",9.0,4,3,2,1,5,6,1,0,4.43,36,146,90,0.0,0.0,1,0,31,1,0,0,0,0,1,1,4,Brian Knight,"C.Bassitt (4-56-W), Y.García (0-H), E.Swanson (1-H), J.Romano (1-Sv)"
8,9,Apr 8,False,LAA,"L,5-9",8.0,10,9,7,2,3,8,3,0,4.79,36,139,85,2.0,2.0,1,0,33,2,0,0,0,0,1,2,5,Tony Randazzo,"J.Berríos (4-34-L), A.Cimber (1), T.Richards (1), Z.Pop (4), A.Bass (1)"
9,10,Apr 9,False,LAA,"W,12-11",10.0,13,11,10,1,5,14,4,1,5.28,48,206,125,4.0,0.0,0,0,42,1,0,0,0,0,0,1,8,Alex MacKay,"Y.Kikuchi (4-26), Z.Pop (0), A.Cimber (0), Y.García (1), E.Swanson (1), J.Romano (1-BW), T.Richards (0-H), T.Mayza (2-Sv)"
10,11,Apr 11,True,DET,"W,9-3",9.0,5,3,3,0,6,9,1,0,5.06,37,159,92,1.0,0.0,0,1,31,1,0,0,0,0,0,0,5,Erich Bacchus,"A.Manoah (5-41), Z.Pop (1-W), E.Swanson (1-H), Y.García (1-H), A.Bass (2)"
11,12,Apr 12,True,DET,"W,4-3",10.0,6,3,3,0,1,11,2,0,4.84,35,133,97,0.0,0.0,0,1,34,2,0,0,0,0,0,1,3,Ryan Wills,"K.Gausman (5-71), T.Mayza (2), J.Romano (2-W)"
12,13,Apr 13,True,DET,"L,1-3",9.0,7,3,3,0,5,10,0,2,4.7,41,177,111,3.0,0.0,0,0,33,5,0,1,0,1,0,0,5,Mike Estabrook,"C.Bassitt (5-60-L), A.Cimber (3), T.Mayza (0), A.Bass (1), T.Richards (3)"
