,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,ATL,"L,2-7",9.0,12,7,4,3,6,7,0,0,4.0,46,177,108,1,1,2,0,40,2,0,0,0,0,1,1,5,Dan Bellino,"P.Corbin (99-33-L), E.Ramírez (99), M.Thompson (99), H.Harvey (99), K.Finnegan (99)"
1,2,Apr 1,True,ATL,"L,1-7",9.0,11,7,7,0,2,8,4,0,5.5,37,152,96,0,0,0,0,35,0,0,0,0,0,0,3,4,Phil Cuzzi,"J.Gray (99-35-L), A.Banda (99), T.Ward (99), H.Harris (99)"
2,3,Apr 2,True,ATL,"W,4-1",9.0,4,1,1,0,5,6,0,0,4.0,33,137,86,2,0,0,0,28,1,0,0,0,0,0,3,5,Mark Ripperger,"M.Gore (99-60-W), H.Harvey (2-H), E.Ramírez (2-H), C.Edwards (99-H), K.Finnegan (2-Sv)"
3,4,Apr 3,True,TBR,"L,2-6",9.0,9,6,5,1,1,5,3,0,4.25,37,147,95,0,0,1,0,34,0,0,0,0,2,0,0,3,Larry Vanover,"T.Williams (99-43-L), M.Thompson (3), A.Banda (1)"
4,5,Apr 4,True,TBR,"L,6-10",9.0,10,10,10,0,4,7,4,0,5.4,40,159,99,0,0,1,1,35,3,0,0,0,1,0,0,6,Chris Guccione,"C.Kuhl (99-46), E.Ramírez (1-H), C.Edwards (1-H), H.Harvey (1-H), K.Finnegan (1-BL), H.Harris (2)"
5,6,Apr 5,True,TBR,"L,2-7",9.0,11,7,7,0,2,6,2,0,5.67,38,140,93,0,0,1,1,35,1,0,0,0,1,0,0,3,Dan Merzel,"P.Corbin (5-31-L), T.Ward (3), A.Banda (1)"
6,7,Apr 6,False,COL,"L,0-1",8.0,9,1,1,0,1,9,0,0,5.08,34,127,82,0,0,0,0,33,2,0,0,0,0,0,0,2,Cory Blaser,"J.Gray (4-57-L), M.Thompson (2)"
7,8,Apr 7,False,COL,"W,10-5",9.0,10,5,5,0,2,8,1,0,5.07,38,140,92,1,1,0,0,36,1,0,0,0,0,0,0,5,Carlos Torres,"M.Gore (4-58-W), E.Ramírez (2), H.Harvey (2), C.Edwards (2), K.Finnegan (2)"
8,9,Apr 8,False,COL,"W,7-6",9.0,11,6,6,0,2,6,1,0,5.17,39,164,111,2,2,0,0,36,3,0,0,0,1,0,1,6,Jansen Visconti,"T.Williams (4-54-W), H.Harvey (0), M.Thompson (1), K.Finnegan (0), A.Banda (2), C.Edwards (0-Sv)"
9,10,Apr 9,False,COL,"L,6-7",8.0,10,7,7,0,5,4,2,1,5.42,39,142,77,5,3,0,0,33,3,0,1,0,0,0,1,3,Ron Kulpa,"C.Kuhl (4-34), E.Ramírez (1-BL), H.Harris (4)"
10,11,Apr 10,False,LAA,"W,6-4",9.0,7,4,4,0,4,8,1,1,5.29,38,148,93,1,0,0,0,33,1,0,0,0,0,0,1,5,Ramon De Jesus,"P.Corbin (4-37-W), M.Thompson (1-H), H.Harvey (1-H), C.Edwards (1-H), K.Finnegan (1-Sv)"
11,12,Apr 11,False,LAA,"L,0-2",8.0,5,2,2,0,4,7,1,2,5.06,33,157,89,4,0,0,0,26,0,0,0,0,1,0,2,3,Alfonso Márquez,"J.Gray (4-54-L), T.Ward (5), A.Banda (2)"
12,13,Apr 12,False,LAA,"L,2-3",8.0,7,3,3,0,6,9,0,0,4.94,35,143,89,5,0,2,0,29,2,0,0,0,0,1,1,5,Doug Eddings,"M.Gore (4-47), M.Thompson (1-L), H.Harvey (1), C.Edwards (1), E.Ramírez (2)"
13,14,Apr 14,True,CLE,"L,3-4",9.0,7,4,3,1,6,6,1,1,4.8,40,163,101,5,2,2,0,33,3,0,0,0,0,1,1,4,Hunter Wendelstedt,"T.Williams (5-55), H.Harvey (1-H), C.Edwards (1-BL), H.Harris (4)"
14,15,Apr 15,True,CLE,"L,4-6",9.0,11,6,6,0,5,4,1,1,4.88,42,167,96,3,0,3,2,36,2,1,0,0,0,0,0,4,John Tumpane,"C.Kuhl (5-29-L), E.Ramírez (2), A.Banda (3), T.Ward (3)"
15,16,Apr 16,True,CLE,"W,7-6",9.0,9,6,4,2,1,5,0,0,4.82,37,151,100,0,0,1,0,36,4,0,0,0,0,1,1,4,Ryan Blakney,"P.Corbin (5-54), H.Harris (1), M.Thompson (3-W), K.Finnegan (5-Sv)"
16,17,Apr 18,True,BAL,"L,0-1",9.0,5,1,1,0,4,7,0,0,4.59,34,143,88,1,0,1,1,30,2,0,0,0,0,0,0,4,Ron Kulpa,"J.Gray (6-54-L), M.Thompson (1), C.Edwards (3), E.Ramírez (2)"
17,18,Apr 19,True,BAL,"L,0-4",9.0,4,4,3,1,5,10,1,0,4.5,35,150,97,0,0,0,0,30,0,0,0,0,0,1,2,4,Cory Blaser,"M.Gore (6-57-L), A.Banda (3), T.Ward (3), H.Harris (2)"
18,19,Apr 21,False,MIN,"W,3-2",9.0,6,2,2,0,3,7,1,0,4.37,33,145,92,0,0,0,0,28,2,0,0,1,1,0,3,4,Brian O'Nora,"T.Williams (6-59), E.Ramírez (2-W), H.Harvey (6-H), K.Finnegan (4-Sv)"
19,20,Apr 22,False,MIN,"W,10-4",9.0,9,4,3,1,4,11,1,0,4.3,41,181,117,2,0,0,0,37,3,0,0,0,0,0,0,5,Pat Hoberg,"C.Kuhl (6-52), M.Thompson (3-W), H.Harris (2), C.Edwards (3), A.Banda (2)"
20,21,Apr 23,False,MIN,"L,1-3",8.0,9,3,3,0,3,7,2,0,4.26,36,128,82,0,0,0,0,33,0,0,0,0,0,1,0,3,Nestor Ceja,"P.Corbin (6-50-L), E.Ramírez (1), A.Banda (0)"
21,22,Apr 25,False,NYM,"W,5-0",9.0,5,0,0,0,1,13,0,0,4.06,32,119,82,0,0,0,0,31,1,0,0,0,0,0,1,2,Brennan Miller,"J.Gray (6-72-W), M.Thompson (2-Sv)"
22,23,Apr 26,False,NYM,"W,4-1",9.0,4,1,1,0,4,15,0,0,3.92,36,148,95,2,0,0,0,32,0,1,0,0,0,1,0,4,Mark Carlson,"M.Gore (6-68-W), C.Edwards (3-H), H.Harvey (4-H), K.Finnegan (4-Sv)"
23,24,Apr 27,False,NYM,"L,8-9",8.0,16,9,9,0,3,5,1,0,4.16,43,148,92,1,0,1,0,39,3,1,0,0,1,1,1,5,Jordan Baker,"T.Williams (5-35), E.Ramírez (3), H.Harris (4), M.Thompson (1-BL), K.Finnegan (0)"
24,25,Apr 29(1),True,PIT,"L,3-6",9.0,10,6,6,0,7,6,2,1,4.23,43,185,108,5,3,1,2,34,3,0,1,0,1,0,0,6,Erich Bacchus,"P.Corbin (5-43-L), C.Edwards (2), T.Ward (9), A.Banda (5), E.Ramírez (1), J.Weems (99)"
25,26,Apr 29(2),True,PIT,"L,1-16",9.0,17,16,16,0,7,8,2,1,4.7,50,199,117,1,0,1,1,38,5,1,0,1,3,0,1,5,Laz Diaz,"C.Kuhl (6-15-L), J.Weems (-1), H.Harris (1), H.Harvey (2), L.Thomas (99)"
26,27,Apr 30,True,PIT,"W,7-2",9.0,6,2,2,0,3,9,0,0,4.59,36,156,96,0,0,2,0,33,2,0,0,0,0,0,0,3,Ryan Wills,"J.Gray (4-65-W), A.Machado (99), K.Finnegan (2)"
27,28,May 1,True,CHC,"L,1-5",9.0,10,5,5,0,3,8,2,0,4.61,39,177,114,1,0,1,1,36,3,0,0,0,0,0,0,4,Brian Knight,"M.Gore (4-34-L), M.Thompson (3), T.Ward (1), C.Abbott (99)"
28,29,May 2,True,CHC,"W,4-1",9.0,8,1,1,0,4,8,1,0,4.48,39,161,103,2,0,0,0,35,2,0,1,0,0,0,0,5,Alex Tosi,"T.Williams (4-63), C.Edwards (2-H), M.Thompson (0-BSv), H.Harvey (2-W), K.Finnegan (1-Sv)"
