Tm,Playoff_BA,Playoff_OPS,Playoff_SO,Playoff_AB,Playoff_Series_Count,Playoff_SO/BA,Mar/Apr_BA,Mar/Apr_OPS,Mar/Apr_SO/PA,Mar/Apr_LOB,May_BA,May_OPS,May_SO/PA,May_LOB,Jun_BA,Jun_OPS,Jun_SO/PA,Jun_LOB,Jul_BA,Jul_OPS,Jul_SO/PA,Jul_LOB,Aug_BA,Aug_OPS,Aug_SO/PA,Aug_LOB,Sep/Oct_BA,Sep/Oct_OPS,Sep/Oct_SO/PA,Sep/Oct_LOB
KCR,0.25899999999999995,0.7256666666666667,108,562,3,0.19217081850533807,0.302109428954561,0.8012879941188217,0.15127020785219397,7.5,0.24819906681307893,0.6736621338908748,0.15588547189819726,6.153846153846154,0.2556826413880468,0.6732776719256315,0.16490486257928116,6.576923076923077,0.2601860491714035,0.7079841764674766,0.15096153846153845,6.035714285714286,0.2629833566985363,0.7284836081788677,0.14084507042253522,7.0,0.258612024064587,0.7319458659943292,0.18471337579617833,6.8125
NYM,0.22333333333333336,0.6783333333333333,140,470,3,0.2978723404255319,0.23724882572538974,0.6606626156356163,0.18052256532066507,6.695652173913044,0.23083136926982722,0.6489916128356752,0.22619047619047616,6.035714285714286,0.21977082938801307,0.6277615282178203,0.22010050251256277,6.592592592592593,0.23015146110558965,0.652575003373618,0.21311475409836067,7.48,0.2612160880815353,0.7897516749872369,0.20440528634361235,7.214285714285714,0.24773889524683576,0.756178274080891,0.21110176619007573,6.709677419354839
TOR,0.231,0.7104999999999999,91,381,2,0.2388451443569554,0.23874986121860076,0.7130267530621327,0.20530565167243364,5.913043478260869,0.26904603721135734,0.7752873018101556,0.19287020109689212,6.517241379310345,0.2615897166673867,0.7645698522909005,0.17624148003894838,5.62962962962963,0.2597596741268353,0.7687656859808698,0.16563146997929606,6.56,0.2656287878985561,0.8111877067194535,0.18320610687022898,6.7407407407407405,0.2746801575311449,0.8154817030865623,0.18617886178861787,7.548387096774194
CHC,0.20833333333333334,0.6900000000000001,85,284,3,0.2992957746478873,0.2463320452709298,0.6904636786838184,0.23840206185567012,7.4,0.22860933329348346,0.687622728879583,0.2699443413729128,7.321428571428571,0.24449915694022398,0.6840972319341119,0.2215743440233236,7.148148148148148,0.2168004867160768,0.6230889706971701,0.22924901185770755,6.851851851851852,0.24688403530212627,0.7781113166324978,0.259047619047619,6.571428571428571,0.251607270291666,0.7403707802658863,0.24701195219123506,7.8125
HOU,0.1995,0.7085,67,194,2,0.34536082474226804,0.23076236677991008,0.7066329997314645,0.24333719582850522,7.090909090909091,0.2303221016334615,0.7031670830869257,0.2447013487475915,5.517241379310345,0.24206182663718295,0.7413747150515125,0.2586046511627907,6.068965517241379,0.25282954370569083,0.7252099641200305,0.20382882882882883,6.291666666666667,0.23098371350654254,0.6868343429930979,0.2255278310940499,6.214285714285714,0.27638638298704127,0.8335909806989181,0.20051413881748073,7.3
STL,0.211,0.684,48,133,1,0.3609022556390977,0.2708232792312558,0.7338833490951124,0.17888198757763973,7.666666666666667,0.2599740817626664,0.7162691606975251,0.20822162645218947,7.310344827586207,0.24976277204366368,0.695622885771532,0.21839080459770116,6.615384615384615,0.23000866951301469,0.6582679330562082,0.19124643196955282,7.296296296296297,0.25042103321173953,0.7078899115314002,0.20686367969494757,6.607142857142857,0.23617919414558072,0.693481286037317,0.22711571675302247,7.258064516129032
TEX,0.217,0.559,39,184,1,0.21195652173913043,0.20448526366464423,0.5921548520203832,0.1895910780669145,7.142857142857143,0.27018429667609223,0.7851174354140367,0.21679520137103686,7.066666666666666,0.2506663295738247,0.6993314614107484,0.23191278493557974,6.518518518518518,0.24647856233098486,0.6988742525085601,0.1899012074643249,6.958333333333333,0.2686578262528962,0.7340901180373842,0.1729106628242075,6.571428571428571,0.2536570169989384,0.7561463793516288,0.19169329073482427,7.53125
LAD,0.238,0.626,54,168,1,0.32142857142857145,0.2639316971056092,0.8135454367525472,0.18467336683417085,7.0,0.24242007796342593,0.7170925527991288,0.2130350194552529,6.714285714285714,0.24612240643054778,0.7228919897584569,0.19505736981465135,6.733333333333333,0.24090016246804014,0.693308026265187,0.21575342465753425,6.541666666666667,0.24101155853270123,0.6916418564495687,0.21442495126705655,7.222222222222222,0.23544198675671674,0.6965671230524171,0.21283509341998375,7.25
NYY,0.1,0.256,10,30,1,0.3333333333333333,0.23815535611873653,0.7308400522752561,0.2126436781609195,6.5,0.24532966154956407,0.697548130182766,0.1749084249084249,7.068965517241379,0.2658693723200621,0.7757472049563269,0.1784702549575071,7.703703703703703,0.2694959059572964,0.7955546389587416,0.18297872340425533,7.208333333333333,0.23067243646253358,0.6820874328705608,0.21539871677360217,6.964285714285714,0.22865335779205342,0.6868009621226384,0.20970394736842105,7.09375
PIT,0.167,0.385,11,30,1,0.36666666666666664,0.22394441639845028,0.6173962456016777,0.2329974811083123,5.590909090909091,0.2658652093028712,0.7253334339163429,0.18648648648648647,7.75,0.25468249664440223,0.6659319979917044,0.20950533462657617,8.0,0.25499938448226334,0.71341166040966,0.21975806451612906,6.961538461538462,0.26678350419462477,0.7546662332709072,0.2022577610536218,7.444444444444445,0.2527247171730483,0.7040598761869878,0.216988416988417,7.151515151515151
