,Tm,Mar/Apr_BA,Mar/Apr_OPS,Mar/Apr_SO/PA,Mar/Apr_LOB,May_BA,May_OPS,May_SO/PA,May_LOB,Jun_BA,Jun_OPS,Jun_SO/PA,Jun_LOB,Jul_BA,Jul_OPS,Jul_SO/PA,Jul_LOB,Aug_BA,Aug_OPS,Aug_SO/PA,Aug_LOB,Sep/Oct_BA,Sep/Oct_OPS,Sep/Oct_SO/PA,Sep/Oct_LOB,Playoff_BA,Playoff_OPS,Playoff_SO,Playoff_AB,Playoff_Series_Count,Playoff_SO/BA
0,ARI,0.258,0.719,0.2031621621621621621621621622,5.828,0.254,0.765,0.1959746861707646021371511568,7.259,0.265,0.777,0.2007655551559369059240610389,7.111,0.225,0.671,0.2260266723116003386960203218,7.042,0.237,0.691,0.2034196358520682845007169331,6.444,0.230,0.660,0.1954413835241611986292272136,6.821,0.25425000000000003,0.7689999999999999,157,575,4,0.27304347826086955
1,ATL,0.250,0.769,0.2490073587802424691619461062,6.741,0.250,0.767,0.2120665889089174000636199767,6.276,0.300,0.924,0.1781376518218623481781376518,6.760,0.253,0.807,0.2230110952136705990335555975,5.348,0.292,0.872,0.1844981196840059564372428763,6.862,0.271,0.831,0.1963458764582331654730875319,7.138,0.186,0.519,34,129,1,0.26356589147286824
2,BAL,0.251,0.741,0.2086578947368421052631578947,6.500,0.246,0.725,0.2177474224106348458680064898,6.786,0.245,0.706,0.2302462280250291193758972831,6.125,0.232,0.688,0.2371736693182424857188617799,6.231,0.273,0.766,0.2078076021389247425124463293,6.296,0.244,0.699,0.2418503244109380335706217657,6.552,0.243,0.689,23,103,1,0.22330097087378642
3,HOU,0.242,0.688,0.2172351414414178224051595312,7.107,0.239,0.700,0.2145765583581559314623015331,6.000,0.249,0.736,0.1931613831372347531213070955,6.926,0.246,0.740,0.1962224554039874081846799580,6.600,0.275,0.808,0.1888585632127887708353640706,8.536,0.257,0.786,0.1819898104326686838906561150,6.741,0.254,0.7849999999999999,84,381,2,0.2204724409448819
4,LAD,0.219,0.735,0.2509194824438388061281189638,6.621,0.255,0.813,0.2086417887898474089741652818,7.214,0.239,0.736,0.2293934089352309917040870690,7.292,0.256,0.795,0.2002315106067087747552781902,7.478,0.287,0.846,0.1902147294615007862243188204,7.276,0.257,0.749,0.2087763927753752225896718392,7.276,0.177,0.498,23,96,1,0.23958333333333334
5,MIA,0.246,0.678,0.2459637288510450071878801283,6.586,0.265,0.728,0.2127023725994646708765364725,7.407,0.260,0.708,0.1930944590748277604873247679,6.741,0.267,0.696,0.1988898423254317279845543280,6.875,0.231,0.679,0.2107451581135791662107451581,6.222,0.253,0.727,0.2135976287513894034827713968,6.821,0.194,0.461,16,62,1,0.25806451612903225
6,MIL,0.236,0.697,0.2535837732107928512097746577,6.500,0.216,0.652,0.2515576761156328936289643559,5.926,0.215,0.641,0.2622798642053893486102270316,6.815,0.250,0.724,0.2059447983014861995753715499,6.840,0.237,0.686,0.1920076959076491082107014716,6.577,0.255,0.742,0.2256146636550094763351247501,7.138,0.309,0.767,19,68,1,0.27941176470588236
7,MIN,0.231,0.706,0.2548713951675759937646141855,6.379,0.223,0.696,0.2799575285670947517443624229,7.963,0.224,0.671,0.2791864258106959787286532716,6.444,0.252,0.774,0.2771189936069292637657248917,7.083,0.243,0.771,0.2651860337959226182727107038,7.074,0.255,0.796,0.2430687618856971274146732059,7.250,0.2025,0.667,73,184,2,0.3967391304347826
8,PHI,0.261,0.747,0.2420085277682142005879392992,7.138,0.230,0.669,0.2390184309767886545918096351,7.192,0.256,0.727,0.2385764499121265377855887522,7.115,0.241,0.706,0.2466460268317853457172342621,7.080,0.283,0.893,0.2041794871794871794871794872,6.593,0.227,0.729,0.2606356454872319764847912238,6.517,0.25966666666666666,0.8313333333333334,120,418,3,0.28708133971291866
9,TBR,0.275,0.860,0.2206455274903893289300549550,6.379,0.247,0.764,0.2171803805950147413562047708,6.379,0.255,0.727,0.2319891255097417308563661078,6.259,0.215,0.668,0.2505889199900230025219632514,5.583,0.272,0.776,0.2388663967611336032388663968,7.080,0.255,0.752,0.2282363207062929883995483010,7.036,0.215,0.473,18,65,1,0.27692307692307694
10,TEX,0.252,0.757,0.2279061287213815018362722371,6.071,0.282,0.785,0.2223282682406128343589099586,7.000,0.268,0.807,0.2142964484295947502880328608,8.519,0.263,0.777,0.2139806639243325385804490790,6.958,0.246,0.757,0.2421835087360784714417083887,7.667,0.235,0.753,0.2253365876702621840799937013,6.931,0.26075,0.81175,148,600,4,0.24666666666666667
11,TOR,0.253,0.728,0.2068571428571428571428571429,7.429,0.266,0.744,0.1937754344654603158352742443,7.357,0.246,0.714,0.2249151985994091257249151986,6.667,0.253,0.755,0.2167924913283003468679861253,7.625,0.241,0.699,0.2135891789871028625353884869,7.148,0.237,0.721,0.2036784916129363713427008143,7.143,0.227,0.534,19,66,1,0.2878787878787879
